Utah County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 127 Years
"Location ID","Location","Date","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
UT-001,"Beaver County",189501,23.8,26,-3.5,27.3
UT-001,"Beaver County",189502,26.7,14,-4.7,31.4
UT-001,"Beaver County",189503,34.7,24,-2.7,37.4
UT-001,"Beaver County",189504,45.6,71,0.6,45
UT-001,"Beaver County",189505,53.7,52,-0.3,54
UT-001,"Beaver County",189506,61.2,20,-2.5,63.7
UT-001,"Beaver County",189507,69.4,13,-2.1,71.5
UT-001,"Beaver County",189508,70.4,84,1.0,69.4
UT-001,"Beaver County",189509,59.8,34,-1.0,60.8
UT-001,"Beaver County",189510,48.6,53,-0.3,48.9
UT-001,"Beaver County",189511,33.2,15,-3.5,36.7
UT-001,"Beaver County",189512,22.3,9,-6.2,28.5
UT-001,"Beaver County",189601,31.5,99,4.2,27.3
UT-001,"Beaver County",189602,32.0,62,0.6,31.4
UT-001,"Beaver County",189603,37.6,61,0.2,37.4
UT-001,"Beaver County",189604,42.3,22,-2.7,45
UT-001,"Beaver County",189605,50.9,18,-3.1,54
UT-001,"Beaver County",189606,67.9,115,4.2,63.7
UT-001,"Beaver County",189607,71.0,42,-0.5,71.5
UT-001,"Beaver County",189608,69.0,47,-0.4,69.4
UT-001,"Beaver County",189609,59.9,38,-0.9,60.8
UT-001,"Beaver County",189610,49.4,71,0.5,48.9
UT-001,"Beaver County",189611,33.8,20,-2.9,36.7
UT-001,"Beaver County",189612,31.4,93,2.9,28.5
UT-001,"Beaver County",189701,26.3,41,-1.0,27.3
UT-001,"Beaver County",189702,26.7,14,-4.7,31.4
UT-001,"Beaver County",189703,29.3,1,-8.1,37.4
UT-001,"Beaver County",189704,45.2,61,0.2,45
UT-001,"Beaver County",189705,58.5,120,4.5,54
UT-001,"Beaver County",189706,62.1,31,-1.6,63.7
UT-001,"Beaver County",189707,68.5,6,-3.0,71.5
UT-001,"Beaver County",189708,69.1,52,-0.3,69.4
UT-001,"Beaver County",189709,60.3,50,-0.5,60.8
UT-001,"Beaver County",189710,45.1,18,-3.8,48.9
UT-001,"Beaver County",189711,37.2,61,0.5,36.7
UT-001,"Beaver County",189712,22.9,11,-5.6,28.5
UT-001,"Beaver County",189801,18.1,5,-9.2,27.3
UT-001,"Beaver County",189802,30.8,46,-0.6,31.4
UT-001,"Beaver County",189803,31.9,6,-5.5,37.4
UT-001,"Beaver County",189804,48.9,115,3.9,45
UT-001,"Beaver County",189805,50.6,15,-3.4,54
UT-001,"Beaver County",189806,63.5,57,-0.2,63.7
UT-001,"Beaver County",189807,71.5,56,0.0,71.5
UT-001,"Beaver County",189808,71.6,106,2.2,69.4
UT-001,"Beaver County",189809,60.0,40,-0.8,60.8
UT-001,"Beaver County",189810,44.4,11,-4.5,48.9
UT-001,"Beaver County",189811,33.7,19,-3.0,36.7
UT-001,"Beaver County",189812,23.6,18,-4.9,28.5
UT-001,"Beaver County",189901,28.3,67,1.0,27.3
UT-001,"Beaver County",189902,29.9,38,-1.5,31.4
UT-001,"Beaver County",189903,37.4,51,0.0,37.4
UT-001,"Beaver County",189904,46.2,81,1.2,45
UT-001,"Beaver County",189905,49.8,10,-4.2,54
UT-001,"Beaver County",189906,62.8,48,-0.9,63.7
UT-001,"Beaver County",189907,72.5,79,1.0,71.5
UT-001,"Beaver County",189908,64.5,1,-4.9,69.4
UT-001,"Beaver County",189909,63.2,102,2.4,60.8
UT-001,"Beaver County",189910,44.1,8,-4.8,48.9
UT-001,"Beaver County",189911,39.3,94,2.6,36.7
UT-001,"Beaver County",189912,25.1,28,-3.4,28.5
UT-001,"Beaver County",190001,31.7,101,4.4,27.3
UT-001,"Beaver County",190002,32.8,78,1.4,31.4
UT-001,"Beaver County",190003,41.9,114,4.5,37.4
UT-001,"Beaver County",190004,41.1,14,-3.9,45
UT-001,"Beaver County",190005,56.4,94,2.4,54
UT-001,"Beaver County",190006,67.8,112,4.1,63.7
UT-001,"Beaver County",190007,71.9,69,0.4,71.5
UT-001,"Beaver County",190008,66.3,4,-3.1,69.4
UT-001,"Beaver County",190009,54.6,2,-6.2,60.8
UT-001,"Beaver County",190010,47.0,30,-1.9,48.9
UT-001,"Beaver County",190011,39.3,94,2.6,36.7
UT-001,"Beaver County",190012,29.2,69,0.7,28.5
UT-001,"Beaver County",190101,27.8,61,0.5,27.3
UT-001,"Beaver County",190102,29.7,37,-1.7,31.4
UT-001,"Beaver County",190103,34.3,22,-3.1,37.4
UT-001,"Beaver County",190104,43.2,32,-1.8,45
UT-001,"Beaver County",190105,56.1,89,2.1,54
UT-001,"Beaver County",190106,61.9,26,-1.8,63.7
UT-001,"Beaver County",190107,73.7,105,2.2,71.5
UT-001,"Beaver County",190108,69.6,68,0.2,69.4
UT-001,"Beaver County",190109,57.3,8,-3.5,60.8
UT-001,"Beaver County",190110,49.7,79,0.8,48.9
UT-001,"Beaver County",190111,39.6,100,2.9,36.7
UT-001,"Beaver County",190112,27.1,45,-1.4,28.5
UT-001,"Beaver County",190201,26.8,52,-0.5,27.3
UT-001,"Beaver County",190202,33.4,84,2.0,31.4
UT-001,"Beaver County",190203,32.6,11,-4.8,37.4
UT-001,"Beaver County",190204,46.2,81,1.2,45
UT-001,"Beaver County",190205,53.9,56,-0.1,54
UT-001,"Beaver County",190206,65.3,84,1.6,63.7
UT-001,"Beaver County",190207,67.7,3,-3.8,71.5
UT-001,"Beaver County",190208,67.3,11,-2.1,69.4
UT-001,"Beaver County",190209,59.2,29,-1.6,60.8
UT-001,"Beaver County",190210,49.6,76,0.7,48.9
UT-001,"Beaver County",190211,34.0,24,-2.7,36.7
UT-001,"Beaver County",190212,27.5,50,-1.0,28.5
UT-001,"Beaver County",190301,29.7,82,2.4,27.3
UT-001,"Beaver County",190302,13.1,1,-18.3,31.4
UT-001,"Beaver County",190303,36.0,39,-1.4,37.4
UT-001,"Beaver County",190304,43.0,29,-2.0,45
UT-001,"Beaver County",190305,51.3,27,-2.7,54
UT-001,"Beaver County",190306,64.6,75,0.9,63.7
UT-001,"Beaver County",190307,67.5,1,-4.0,71.5
UT-001,"Beaver County",190308,69.2,54,-0.2,69.4
UT-001,"Beaver County",190309,57.8,12,-3.0,60.8
UT-001,"Beaver County",190310,48.0,45,-0.9,48.9
UT-001,"Beaver County",190311,38.0,75,1.3,36.7
UT-001,"Beaver County",190312,25.8,32,-2.7,28.5
UT-001,"Beaver County",190401,23.5,24,-3.8,27.3
UT-001,"Beaver County",190402,34.1,89,2.7,31.4
UT-001,"Beaver County",190403,39.0,83,1.6,37.4
UT-001,"Beaver County",190404,44.9,56,-0.1,45
UT-001,"Beaver County",190405,53.9,56,-0.1,54
UT-001,"Beaver County",190406,62.5,40,-1.2,63.7
UT-001,"Beaver County",190407,68.7,7,-2.8,71.5
UT-001,"Beaver County",190408,68.0,22,-1.4,69.4
UT-001,"Beaver County",190409,59.7,33,-1.1,60.8
UT-001,"Beaver County",190410,46.1,25,-2.8,48.9
UT-001,"Beaver County",190411,38.6,81,1.9,36.7
UT-001,"Beaver County",190412,28.2,58,-0.3,28.5
UT-001,"Beaver County",190501,29.2,76,1.9,27.3
UT-001,"Beaver County",190502,30.3,43,-1.1,31.4
UT-001,"Beaver County",190503,39.0,83,1.6,37.4
UT-001,"Beaver County",190504,45.5,68,0.5,45
UT-001,"Beaver County",190505,49.7,9,-4.3,54
UT-001,"Beaver County",190506,62.0,27,-1.7,63.7
UT-001,"Beaver County",190507,68.9,9,-2.6,71.5
UT-001,"Beaver County",190508,68.8,43,-0.6,69.4
UT-001,"Beaver County",190509,60.0,40,-0.8,60.8
UT-001,"Beaver County",190510,44.4,11,-4.5,48.9
UT-001,"Beaver County",190511,36.4,52,-0.3,36.7
UT-001,"Beaver County",190512,23.0,13,-5.5,28.5
UT-001,"Beaver County",190601,26.6,51,-0.7,27.3
UT-001,"Beaver County",190602,34.6,93,3.2,31.4
UT-001,"Beaver County",190603,36.0,39,-1.4,37.4
UT-001,"Beaver County",190604,44.4,45,-0.6,45
UT-001,"Beaver County",190605,53.3,49,-0.7,54
UT-001,"Beaver County",190606,60.7,14,-3.0,63.7
UT-001,"Beaver County",190607,70.3,29,-1.2,71.5
UT-001,"Beaver County",190608,67.4,13,-2.0,69.4
UT-001,"Beaver County",190609,58.0,13,-2.8,60.8
UT-001,"Beaver County",190610,48.6,53,-0.3,48.9
UT-001,"Beaver County",190611,35.1,40,-1.6,36.7
UT-001,"Beaver County",190612,32.4,104,3.9,28.5
UT-001,"Beaver County",190701,27.3,58,0.0,27.3
UT-001,"Beaver County",190702,39.4,125,8.0,31.4
UT-001,"Beaver County",190703,40.4,97,3.0,37.4
UT-001,"Beaver County",190704,47.9,103,2.9,45
UT-001,"Beaver County",190705,51.1,23,-2.9,54
UT-001,"Beaver County",190706,57.6,1,-6.1,63.7
UT-001,"Beaver County",190707,69.6,17,-1.9,71.5
UT-001,"Beaver County",190708,66.4,5,-3.0,69.4
UT-001,"Beaver County",190709,58.8,23,-2.0,60.8
UT-001,"Beaver County",190710,51.3,103,2.4,48.9
UT-001,"Beaver County",190711,36.6,56,-0.1,36.7
UT-001,"Beaver County",190712,32.1,101,3.6,28.5
UT-001,"Beaver County",190801,30.8,92,3.5,27.3
UT-001,"Beaver County",190802,31.6,57,0.2,31.4
UT-001,"Beaver County",190803,37.5,57,0.1,37.4
UT-001,"Beaver County",190804,46.4,87,1.4,45
UT-001,"Beaver County",190805,48.9,5,-5.1,54
UT-001,"Beaver County",190806,59.6,7,-4.1,63.7
UT-001,"Beaver County",190807,70.8,34,-0.7,71.5
UT-001,"Beaver County",190808,68.8,43,-0.6,69.4
UT-001,"Beaver County",190809,60.4,53,-0.4,60.8
UT-001,"Beaver County",190810,44.0,5,-4.9,48.9
UT-001,"Beaver County",190811,37.6,72,0.9,36.7
UT-001,"Beaver County",190812,28.0,54,-0.5,28.5
UT-001,"Beaver County",190901,34.9,122,7.6,27.3
UT-001,"Beaver County",190902,31.3,52,-0.1,31.4
UT-001,"Beaver County",190903,37.1,47,-0.3,37.4
UT-001,"Beaver County",190904,43.2,32,-1.8,45
UT-001,"Beaver County",190905,50.7,17,-3.3,54
UT-001,"Beaver County",190906,65.3,84,1.6,63.7
UT-001,"Beaver County",190907,70.9,38,-0.6,71.5
UT-001,"Beaver County",190908,69.0,47,-0.4,69.4
UT-001,"Beaver County",190909,58.6,20,-2.2,60.8
UT-001,"Beaver County",190910,50.1,84,1.2,48.9
UT-001,"Beaver County",190911,37.2,61,0.5,36.7
UT-001,"Beaver County",190912,20.8,4,-7.7,28.5
UT-001,"Beaver County",191001,25.8,36,-1.5,27.3
UT-001,"Beaver County",191002,28.9,32,-2.5,31.4
UT-001,"Beaver County",191003,44.2,123,6.8,37.4
UT-001,"Beaver County",191004,48.9,115,3.9,45
UT-001,"Beaver County",191005,56.1,89,2.1,54
UT-001,"Beaver County",191006,66.2,92,2.5,63.7
UT-001,"Beaver County",191007,71.8,67,0.3,71.5
UT-001,"Beaver County",191008,69.6,68,0.2,69.4
UT-001,"Beaver County",191009,62.9,96,2.1,60.8
UT-001,"Beaver County",191010,49.7,79,0.8,48.9
UT-001,"Beaver County",191011,42.1,123,5.4,36.7
UT-001,"Beaver County",191012,30.8,89,2.3,28.5
UT-001,"Beaver County",191101,32.2,105,4.9,27.3
UT-001,"Beaver County",191102,26.7,14,-4.7,31.4
UT-001,"Beaver County",191103,40.8,100,3.4,37.4
UT-001,"Beaver County",191104,44.0,43,-1.0,45
UT-001,"Beaver County",191105,51.8,32,-2.2,54
UT-001,"Beaver County",191106,63.4,55,-0.3,63.7
UT-001,"Beaver County",191107,69.4,13,-2.1,71.5
UT-001,"Beaver County",191108,68.4,31,-1.0,69.4
UT-001,"Beaver County",191109,60.2,44,-0.6,60.8
UT-001,"Beaver County",191110,45.6,21,-3.3,48.9
UT-001,"Beaver County",191111,33.4,16,-3.3,36.7
UT-001,"Beaver County",191112,23.5,17,-5.0,28.5
UT-001,"Beaver County",191201,27.8,61,0.5,27.3
UT-001,"Beaver County",191202,32.5,75,1.1,31.4
UT-001,"Beaver County",191203,35.4,32,-2.0,37.4
UT-001,"Beaver County",191204,40.1,8,-4.9,45
UT-001,"Beaver County",191205,51.1,23,-2.9,54
UT-001,"Beaver County",191206,63.5,57,-0.2,63.7
UT-001,"Beaver County",191207,67.6,2,-3.9,71.5
UT-001,"Beaver County",191208,66.5,6,-2.9,69.4
UT-001,"Beaver County",191209,53.6,1,-7.2,60.8
UT-001,"Beaver County",191210,45.0,17,-3.9,48.9
UT-001,"Beaver County",191211,37.6,72,0.9,36.7
UT-001,"Beaver County",191212,26.4,38,-2.1,28.5
UT-001,"Beaver County",191301,24.3,29,-3.0,27.3
UT-001,"Beaver County",191302,28.0,22,-3.4,31.4
UT-001,"Beaver County",191303,33.2,13,-4.2,37.4
UT-001,"Beaver County",191304,44.7,51,-0.3,45
UT-001,"Beaver County",191305,53.2,46,-0.8,54
