0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_18950101,0,0,0,0,0,100,0,0,0,0,0
0,d_18950201,0,0,0,0,0,100,0,0,0,0,0
0,d_18950301,0,0,0,0,0,100,0,0,0,0,0
0,d_18950401,0,0,0,0,0,100,0,0,0,0,0
0,d_18950501,0,0,0,0,0,100,0,0,0,0,0
0,d_18950601,0,0,0,0,0,100,0,0,0,0,0
0,d_18950701,0,0,0,0,0,100,0,0,0,0,0
0,d_18950801,0,0,0,0,0,100,0,0,0,0,0
99.4,d_18950901,0.6,0,0,0,0,0,0,0,0,0,0
49.9,d_18951001,50.1,0,0,0,0,0,0,0,0,0,0
15.3,d_18951101,84.7,17.9,0,0,0,0,0,0,0,0,0
0,d_18951201,100,99.1,12.1,0.1,0,0,0,0,0,0,0
0,d_18960101,100,99.8,1.5,0,0,0,0,0,0,0,0
0,d_18960201,100,100,99.9,21.2,0,0,0,0,0,0,0
0,d_18960301,100,100,100,53.5,0,0,0,0,0,0,0
0,d_18960401,100,100,68.7,12.4,0,0,0,0,0,0,0
9.6,d_18960501,90.4,54.9,0.3,0,0,0,0,0,0,0,0
21.9,d_18960601,78.1,51.4,2,0,0,0,0,0,0,0,0
89.3,d_18960701,9.1,0,0,0,0,0,1.6,0,0,0,0
44.3,d_18960801,0,0,0,0,0,0,55.7,25.9,0,0,0
54.7,d_18960901,0.4,0,0,0,0,0,44.9,14.5,0,0,0
71.1,d_18961001,0.4,0,0,0,0,0,28.5,6.9,0,0,0
59.6,d_18961101,0,0,0,0,0,0,40.4,14.9,0,0,0
48.9,d_18961201,0,0,0,0,0,0,51.1,23.5,0,0,0
7.3,d_18970101,0,0,0,0,0,0,92.7,66,27.8,9.3,0
0,d_18970201,0,0,0,0,0,0,99.9,94,43.7,13.4,0
0,d_18970301,0,0,0,0,0,0,100,100,58.3,17,0
14.4,d_18970401,0,0,0,0,0,0,85.6,29.7,0,0,0
100,d_18970501,0,0,0,0,0,0,0,0,0,0,0
99.9,d_18970601,0,0,0,0,0,0,0.1,0,0,0,0
97.1,d_18970701,0,0,0,0,0,0,2.9,0,0,0,0
95.6,d_18970801,4,0,0,0,0,0,0.4,0,0,0,0
53.1,d_18970901,0,0,0,0,0,0,46.8,8.3,0,0,0
41.9,d_18971001,0,0,0,0,0,0,58.2,3.3,0,0,0
100,d_18971101,0,0,0,0,0,0,0,0,0,0,0
79.3,d_18971201,20.7,0,0,0,0,0,0,0,0,0,0
91.9,d_18980101,0,0,0,0,0,0,8.1,0,0,0,0
99.4,d_18980201,0,0,0,0,0,0,0.6,0,0,0,0
84.7,d_18980301,0,0,0,0,0,0,15.3,0,0,0,0
70.4,d_18980401,0,0,0,0,0,0,29.6,0,0,0,0
0,d_18980501,0,0,0,0,0,0,100,95.9,32.6,0.7,0
0.8,d_18980601,0,0,0,0,0,0,99.1,78.1,1.3,0,0
36.7,d_18980701,0,0,0,0,0,0,63.3,14,0,0,0
25,d_18980801,0,0,0,0,0,0,75,13.2,0,0,0
99.2,d_18980901,0,0,0,0,0,0,0.8,0,0,0,0
67.6,d_18981001,32.4,4.8,0,0,0,0,0,0,0,0,0
84,d_18981101,15.9,1.1,0,0,0,0,0,0,0,0,0
39.6,d_18981201,60.4,13.2,0,0,0,0,0,0,0,0,0
22.9,d_18990101,77.1,24.6,1.1,0,0,0,0,0,0,0,0
0,d_18990201,100,100,95,80.5,35.9,0,0,0,0,0,0
0.1,d_18990301,99.8,96.9,75.6,31.1,1.1,0,0,0,0,0,0
0.1,d_18990401,99.8,96.3,77.5,38.2,0,0,0,0,0,0,0
0,d_18990501,100,99.8,74.8,26.6,3.2,0,0,0,0,0,0
0.5,d_18990601,99.5,90.8,17.2,2.4,0,0,0,0,0,0,0
4.8,d_18990701,95.2,47.1,10.6,1.3,0,0,0,0,0,0,0
31.8,d_18990801,68.2,9.5,0,0,0,0,0,0,0,0,0
15.8,d_18990901,84.2,59.6,0,0,0,0,0,0,0,0,0
30.8,d_18991001,69.3,2.4,0,0,0,0,0,0,0,0,0
32.2,d_18991101,67.9,23.4,0,0,0,0,0,0,0,0,0
17.2,d_18991201,82.8,47.1,0,0,0,0,0,0,0,0,0
0,d_19000101,100.1,76.6,3.1,0,0,0,0,0,0,0,0
0,d_19000201,99.9,99.9,48.6,27.1,0,0,0,0,0,0,0
0,d_19000301,99.9,99.9,87,63.9,38.8,0,0,0,0,0,0
43,d_19000401,57,32.6,0.2,0,0,0,0,0,0,0,0
3.1,d_19000501,96.9,58.9,0,0,0,0,0,0,0,0,0
32.7,d_19000601,67.3,18.5,0,0,0,0,0,0,0,0,0
0,d_19000701,99.9,80.5,18.3,0,0,0,0,0,0,0,0
0,d_19000801,100,93.6,27.1,2.7,0,0,0,0,0,0,0
0,d_19000901,99.9,81.9,34.8,4.5,0,0,0,0,0,0,0
1.4,d_19001001,98.6,70.1,18.9,0.4,0,0,0,0,0,0,0
46.4,d_19001101,53.6,22,0,0,0,0,0,0,0,0,0
60.6,d_19001201,39.3,9.7,0,0,0,0,0,0,0,0,0
0,d_19010101,100,100,100,89.8,35.1,0,0,0,0,0,0
19.7,d_19010201,80.3,31.8,0,0,0,0,0,0,0,0,0
5.1,d_19010301,94.9,80.9,1.8,0,0,0,0,0,0,0,0
11,d_19010401,89,26.2,0,0,0,0,0,0,0,0,0
72.2,d_19010501,27.8,0,0,0,0,0,0,0,0,0,0
29.2,d_19010601,70.8,0,0,0,0,0,0,0,0,0,0
8.3,d_19010701,91.7,19.8,0,0,0,0,0,0,0,0,0
100,d_19010801,0,0,0,0,0,0,0,0,0,0,0
98,d_19010901,2,0,0,0,0,0,0,0,0,0,0
100,d_19011001,0,0,0,0,0,0,0,0,0,0,0
0,d_19011101,100,100,71.7,35.2,9.7,0,0,0,0,0,0
0,d_19011201,99.9,99.7,45.7,14.1,0,0,0,0,0,0,0
0,d_19020101,100,100,34.8,3.6,0,0,0,0,0,0,0
0,d_19020201,100,100,89.8,55.5,0.6,0,0,0,0,0,0
0,d_19020301,100,95.8,58.3,12.6,0,0,0,0,0,0,0
0,d_19020401,100,99,58.8,19.5,0,0,0,0,0,0,0
0,d_19020501,100,100,100,98.2,76.7,0,0,0,0,0,0
0,d_19020601,100,100,99.8,93,57.1,0,0,0,0,0,0
0,d_19020701,100,100,89.8,77.3,49.3,0,0,0,0,0,0
