Mariposa County, California, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
197901,37.6,-2.2
197902,39.6,-2.7
197903,45.4,0.2
197904,49.2,-1.1
197905,59.7,2.3
197906,66.8,1.6
197907,71.8,-0.6
197908,69.2,-2.1
197909,69.2,3.6
197910,57.8,0.9
197911,45.9,-1
197912,44.1,3.2
198001,43.1,3.3
198002,45.1,2.8
198003,43.3,-1.9
198004,50.4,0.1
198005,53.9,-3.5
198006,61.4,-3.8
198007,72.3,-0.1
198008,70.9,-0.4
198009,65.1,-0.5
198010,59.4,2.5
198011,49.5,2.6
198012,45.2,4.3
198101,44.6,4.8
198102,44.4,2.1
198103,44,-1.2
198104,52.6,2.3
198105,58.3,0.9
198106,71,5.8
198107,73.7,1.3
198108,73.6,2.3
198109,68.1,2.5
198110,52.7,-4.2
198111,48.3,1.4
198112,44,3.1
198201,37,-2.8
198202,44.1,1.8
198203,42.1,-3.1
198204,48.3,-2
198205,58.8,1.4
198206,62.8,-2.4
198207,70,-2.4
198208,70.8,-0.5
198209,62.7,-2.9
198210,54.5,-2.4
198211,43,-3.9
198212,39.8,-1.1
198301,41.2,1.4
198302,43.1,0.8
198303,44.3,-0.9
198304,45.6,-4.7
198305,57.2,-0.2
198306,64,-1.2
198307,67,-5.4
198308,70.5,-0.8
198309,67.6,2
198310,57.7,0.8
198311,45.2,-1.7
198312,42.2,1.3
198401,44,4.2
198402,43.2,0.9
198403,48.7,3.5
198404,48.6,-1.7
198405,61.9,4.5
198406,64.8,-0.4
198407,75.3,2.9
198408,73.2,1.9
198409,70,4.4
198410,52.5,-4.4
198411,43.6,-3.3
198412,38.8,-2.1
198501,39.6,-0.2
198502,42.9,0.6
198503,42.3,-2.9
198504,55.1,4.8
198505,58.1,0.7
198506,70.2,5
198507,74.5,2.1
198508,70,-1.3
198509,60.2,-5.4
198510,55.5,-1.4
198511,43.3,-3.6
198512,41.9,1
198601,47.5,7.7
198602,45.6,3.3
198603,50,4.8
198604,50.6,0.3
198605,58.4,1
198606,67.7,2.5
198607,69.7,-2.7
198608,73.1,1.8
198609,59.1,-6.5
198610,56.2,-0.7
198611,49.2,2.3
198612,42.9,2
198701,39,-0.8
198702,42.6,0.3
198703,44.6,-0.6
198704,56.1,5.8
198705,59.4,2
198706,68.6,3.4
198707,67.6,-4.8
198708,72,0.7
198709,67.2,1.6
198710,61.7,4.8
198711,46,-0.9
198712,38.8,-2.1
198801,40.7,0.9
198802,47.1,4.8
198803,48.3,3.1
198804,51.2,0.9
198805,56.2,-1.2
198806,65.1,-0.1
198807,75.1,2.7
198808,72.9,1.6
198809,68.1,2.5
198810,62.5,5.6
198811,46.5,-0.4
198812,39.5,-1.4
198901,37.3,-2.5
198902,39.9,-2.4
198903,47.6,2.4
198904,55.8,5.5
198905,57.1,-0.3
198906,66.2,1
198907,72.9,0.5
198908,69.3,-2
198909,64.6,-1
198910,55.4,-1.5
198911,49,2.1
198912,42.9,2
199001,40.3,0.5
199002,38.6,-3.7
199003,47.6,2.4
199004,54.4,4.1
199005,56.7,-0.7
199006,65.4,0.2
199007,73.7,1.3
199008,70.5,-0.8
199009,65.8,0.2
199010,60.3,3.4
199011,48.1,1.2
199012,36,-4.9
199101,42.1,2.3
199102,49.9,7.6
199103,38.8,-6.4
199104,47.7,-2.6
199105,52.9,-4.5
199106,63.2,-2
199107,73.8,1.4
199108,69.6,-1.7
199109,70.4,4.8
199110,62.2,5.3
199111,49,2.1
199112,42.1,1.2
