Garfield County, Utah, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Date,Value,Anomaly
,,
198001,30.8,4.5
198002,34.6,3.7
198003,34,-3.2
198004,44.5,-0.5
198005,50.7,-3.4
198006,63.6,0
198007,71.2,1.1
198008,67.4,-0.4
198009,60,0
198010,48.1,-0.7
198011,38.5,1.9
198012,36.3,8.4
198101,33.7,7.4
198102,33.9,3
198103,36.8,-0.4
198104,49.2,4.2
198105,53.3,-0.8
198106,67.9,4.3
198107,71.5,1.4
198108,68.1,0.3
198109,61.3,1.3
198110,46.3,-2.5
198111,39.9,3.3
198112,32.2,4.3
198201,26.4,0.1
198202,29.3,-1.6
198203,37.1,-0.1
198204,43.2,-1.8
198205,53.5,-0.6
198206,61.7,-1.9
198207,68.7,-1.4
198208,67.7,-0.1
198209,59.7,-0.3
198210,44.4,-4.4
198211,34.2,-2.4
198212,27.7,-0.2
198301,28.9,2.6
198302,33.8,2.9
198303,37.6,0.4
198304,39.2,-5.8
198305,51.8,-2.3
198306,61.7,-1.9
198307,68.9,-1.2
198308,68.4,0.6
198309,62.6,2.6
198310,50,1.2
198311,37.1,0.5
198312,29.7,1.8
198401,25.7,-0.6
198402,29.5,-1.4
198403,36.7,-0.5
198404,41.9,-3.1
198405,59.3,5.2
198406,62.2,-1.4
198407,70.4,0.3
198408,68.3,0.5
198409,61.6,1.6
198410,43.4,-5.4
198411,36.2,-0.4
198412,27.6,-0.3
198501,26.4,0.1
198502,27.3,-3.6
198503,36.6,-0.6
198504,48.6,3.6
198505,55.3,1.2
198506,66.5,2.9
198507,71,0.9
198508,69.2,1.4
198509,56,-4
198510,48.7,-0.1
198511,35.9,-0.7
198512,30.5,2.6
198601,34.1,7.8
198602,35.5,4.6
198603,43.5,6.3
198604,45.6,0.6
198605,54.7,0.6
198606,66.8,3.2
198607,68.5,-1.6
198608,70,2.2
198609,55.4,-4.6
198610,45.9,-2.9
198611,37.7,1.1
198612,29.7,1.8
198701,25.4,-0.9
198702,31.4,0.5
198703,35,-2.2
198704,48.7,3.7
198705,54.6,0.5
198706,66.6,3
198707,67.8,-2.3
198708,67,-0.8
198709,60.6,0.6
198710,52.4,3.6
198711,36,-0.6
198712,26.6,-1.3
198801,24.6,-1.7
198802,32.8,1.9
198803,36.4,-0.8
198804,46.1,1.1
198805,53.8,-0.3
198806,67,3.4
198807,72.5,2.4
198808,68.5,0.7
198809,59.1,-0.9
198810,54.9,6.1
198811,37.7,1.1
198812,27.7,-0.2
198901,21.9,-4.4
198902,28.2,-2.7
198903,43.6,6.4
198904,51.8,6.8
198905,56.3,2.2
198906,64,0.4
198907,72.8,2.7
198908,67.2,-0.6
198909,61,1
198910,49.3,0.5
198911,39.6,3
198912,30.6,2.7
199001,28.2,1.9
199002,31.4,0.5
199003,41.4,4.2
199004,48.9,3.9
199005,53.8,-0.3
199006,67.7,4.1
199007,70.9,0.8
199008,68,0.2
199009,63,3
199010,50,1.2
199011,37.3,0.7
199012,22.2,-5.7
199101,24,-2.3
199102,35.6,4.7
199103,34.5,-2.7
199104,42.4,-2.6
199105,52.1,-2
199106,62.6,-1
199107,70.8,0.7
199108,68.8,1
199109,61.2,1.2
199110,52,3.2
199111,35.7,-0.9
199112,27.1,-0.8
199201,24.4,-1.9
199202,33.8,2.9
199203,40,2.8
199204,52.2,7.2
199205,56.9,2.8
199206,63.2,-0.4
199207,68,-2.1
199208,68.5,0.7
199209,61.9,1.9
199210,52.9,4.1
199211,32.6,-4
199212,23.9,-4
199301,28.3,2
