Coconino County, Arizona, Precipitation
Units: Inches,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
197901,2.76,1.55
197902,1.06,-0.18
197903,2.12,0.81
197904,0.25,-0.57
197905,1.55,1.04
197906,0.24,-0.13
197907,0.5,-1.22
197908,1.83,-0.2
197909,0.09,-1.14
197910,0.92,-0.07
197911,0.89,-0.03
197912,1.04,-0.19
198001,3.37,2.16
198002,3.8,2.56
198003,2.2,0.89
198004,0.99,0.17
198005,0.57,0.06
198006,0.1,-0.27
198007,1.81,0.09
198008,1.56,-0.47
198009,0.95,-0.28
198010,0.66,-0.33
198011,0.02,-0.9
198012,0.44,-0.79
198101,0.57,-0.64
198102,0.62,-0.62
198103,1.96,0.65
198104,0.74,-0.08
198105,1.1,0.59
198106,0.61,0.24
198107,1.87,0.15
198108,2.91,0.88
198109,1.72,0.49
198110,1.48,0.49
198111,1.55,0.63
198112,0.1,-1.13
198201,2.03,0.82
198202,1.83,0.59
198203,2.19,0.88
198204,0.65,-0.17
198205,1.2,0.69
198206,0.06,-0.31
198207,1.23,-0.49
198208,2.71,0.68
198209,1.39,0.16
198210,0.41,-0.58
198211,2.54,1.62
198212,2.15,0.92
198301,1.02,-0.19
198302,1.43,0.19
198303,2.75,1.44
198304,0.93,0.11
198305,0.13,-0.38
198306,0.06,-0.31
198307,2.31,0.59
198308,2.21,0.18
198309,3.34,2.11
198310,0.87,-0.12
198311,1.4,0.48
198312,1.44,0.21
198401,0.29,-0.92
198402,0.3,-0.94
198403,0.62,-0.69
198404,0.38,-0.44
198405,0.12,-0.39
198406,0.33,-0.04
198407,3.32,1.6
198408,2.53,0.5
198409,1.08,-0.15
198410,0.91,-0.08
198411,0.92,0
198412,2.88,1.65
198501,1.75,0.54
198502,0.82,-0.42
198503,1.81,0.5
198504,1.33,0.51
198505,0.4,-0.11
198506,0.2,-0.17
198507,1.78,0.06
198508,0.53,-1.5
198509,1.45,0.22
198510,1,0.01
198511,3.14,2.22
198512,0.23,-1
198601,0.13,-1.08
198602,1.23,-0.01
198603,1.68,0.37
198604,0.77,-0.05
198605,0.52,0.01
198606,0.42,0.05
198607,2.07,0.35
198608,2.45,0.42
198609,1.62,0.39
198610,1.45,0.46
198611,1.21,0.29
198612,1.21,-0.02
198701,1.28,0.07
198702,1.5,0.26
198703,1.19,-0.12
198704,0.24,-0.58
198705,1,0.49
198706,0.54,0.17
198707,1.39,-0.33
198708,2.37,0.34
198709,0.5,-0.73
198710,2.17,1.18
198711,2.07,1.15
198712,1.01,-0.22
198801,1.1,-0.11
198802,1.28,0.04
198803,0.08,-1.23
198804,2.65,1.83
198805,0.17,-0.34
198806,1.07,0.7
198807,1.02,-0.7
198808,2.94,0.91
198809,0.43,-0.8
198810,0.46,-0.53
198811,0.93,0.01
198812,0.57,-0.66
198901,1.45,0.24
198902,0.58,-0.66
198903,0.8,-0.51
198904,0,-0.82
198905,0.46,-0.05
198906,0.03,-0.34
198907,1.54,-0.18
198908,1.94,-0.09
198909,0.11,-1.12
198910,0.59,-0.4
198911,0.01,-0.91
198912,0.4,-0.83
199001,1.11,-0.1
199002,1.61,0.37
199003,0.86,-0.45
199004,1.27,0.45
199005,0.48,-0.03
199006,0.36,-0.01
199007,2.29,0.57
199008,1.76,-0.27
199009,2.36,1.13
199010,0.54,-0.45
199011,0.62,-0.3
199012,0.96,-0.27
199101,1.17,-0.04
199102,0.55,-0.69
199103,3.61,2.3
199104,0.01,-0.81
199105,0.1,-0.41
199106,0.43,0.06
199107,1.04,-0.68
199108,1.35,-0.68
199109,1.19,-0.04
199110,0.55,-0.44
199111,1.33,0.41
199112,1.7,0.47
199201,0.98,-0.23
199202,1.64,0.4
199203,2.96,1.65
199204,0.23,-0.59
199205,2.34,1.83
199206,0.3,-0.07
199207,1.91,0.19
199208,3.06,1.03
199209,1.01,-0.22
199210,1.4,0.41
199211,0.16,-0.76
199212,2.83,1.6
199301,5.2,3.99
199302,3.76,2.52
199303,1.34,0.03
199304,0.11,-0.71
199305,0.48,-0.03
199306,0.3,-0.07
199307,0.03,-1.69
199308,2.56,0.53
199309,0.28,-0.95
199310,1.85,0.86
199311,1.13,0.21
199312,0.43,-0.8
199401,0.31,-0.9
199402,1.36,0.12
199403,1.23,-0.08
199404,1.16,0.34
199405,0.65,0.14
199406,0.16,-0.21
199407,0.85,-0.87
199408,1.88,-0.15
199409,1.27,0.04
199410,1,0.01
199411,0.92,0
199412,1.39,0.16
199501,2.65,1.44
199502,1.71,0.47
199503,2.33,1.02
199504,1.08,0.26
199505,0.66,0.15
199506,0.26,-0.11
199507,0.96,-0.76
199508,1.87,-0.16
199509,1.54,0.31
199510,0.03,-0.96
199511,0.52,-0.4
199512,0.41,-0.82
199601,0.35,-0.86
199602,1.21,-0.03
199603,0.54,-0.77
199604,0.09,-0.73
199605,0.1,-0.41
199606,0.06,-0.31
199607,1.62,-0.1
199608,0.89,-1.14
199609,1.95,0.72
199610,0.86,-0.13
199611,1.24,0.32
199612,0.5,-0.73
199701,2.47,1.26
199702,0.95,-0.29
199703,0.01,-1.3
199704,1.48,0.66
199705,0.44,-0.07
199706,0.45,0.08
199707,0.95,-0.77
199708,2.64,0.61
199709,3.07,1.84
199710,0.93,-0.06
199711,0.64,-0.28
199712,1.13,-0.1
199801,0.69,-0.52
199802,2.18,0.94
199803,2.29,0.98
199804,0.91,0.09
199805,0.75,0.24
199806,0.07,-0.3
199807,2.22,0.5
199808,1.16,-0.87
199809,2.46,1.23
199810,2.03,1.04
199811,1.09,0.17
199812,0.34,-0.89
199901,0.27,-0.94
199902,0.45,-0.79
199903,0.2,-1.11
199904,1.67,0.85
199905,0.45,-0.06
199906,0.58,0.21
199907,3.58,1.86
199908,2.65,0.62
199909,2.34,1.11
199910,0.01,-0.98
199911,0.01,-0.91
199912,0.08,-1.15
200001,0.62,-0.59
200002,0.98,-0.26
200003,2.11,0.8
200004,0.22,-0.6
200005,0.05,-0.46
200006,0.51,0.14
200007,0.4,-1.32
200008,2.22,0.19
200009,0.24,-0.99
200010,3.28,2.29
200011,0.6,-0.32
200012,0.23,-1
200101,1.66,0.45
200102,1.09,-0.15
200103,1.3,-0.01
200104,0.88,0.06
200105,0.4,-0.11
200106,0.31,-0.06
200107,1.57,-0.15
200108,2.34,0.31
200109,0.34,-0.89
200110,0.48,-0.51
200111,0.43,-0.49
200112,1.04,-0.19
200201,0.18,-1.03
200202,0.04,-1.2
200203,0.38,-0.93
200204,0.23,-0.59
200205,0.01,-0.5
200206,0.01,-0.36
200207,1,-0.72
200208,0.58,-1.45
200209,2.59,1.36
200210,0.85,-0.14
200211,0.9,-0.02
200212,0.83,-0.4
200301,0.29,-0.92
200302,2.07,0.83
200303,1.3,-0.01
200304,0.48,-0.34
200305,0.23,-0.28
200306,0.06,-0.31
200307,1.02,-0.7
