Coconino County, Arizona, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
197901,27.1,-4.8
197902,32.6,-3.9
197903,40.3,-1.6
197904,49,-0.5
197905,56.9,-1
197906,66.6,-0.8
197907,73.6,0.4
197908,69.4,-1.7
197909,67.7,3.2
197910,56.2,3.1
197911,37.8,-3.3
197912,35,2.1
198001,35.9,4
198002,39.3,2.8
198003,39.4,-2.5
198004,48.8,-0.7
198005,53.7,-4.2
198006,67.4,0
198007,74,0.8
198008,71.5,0.4
198009,64.9,0.4
198010,52.7,-0.4
198011,42.5,1.4
198012,39.8,6.9
198101,37.9,6
198102,39.2,2.7
198103,41.4,-0.5
198104,53.6,4.1
198105,57.9,0
198106,71.5,4.1
198107,74,0.8
198108,71.5,0.4
198109,64.5,0
198110,51,-2.1
198111,44.4,3.3
198112,37,4.1
198201,32,0.1
198202,36.1,-0.4
198203,41.7,-0.2
198204,49,-0.5
198205,56.8,-1.1
198206,65.3,-2.1
198207,71.7,-1.5
198208,71,-0.1
198209,64.2,-0.3
198210,49.4,-3.7
198211,39.7,-1.4
198212,32.5,-0.4
198301,34.4,2.5
198302,37.8,1.3
198303,42.1,0.2
198304,43.7,-5.8
198305,56.3,-1.6
198306,65.7,-1.7
198307,72.3,-0.9
198308,70.7,-0.4
198309,67,2.5
198310,53.8,0.7
198311,41.7,0.6
198312,36.2,3.3
198401,33.8,1.9
198402,35.8,-0.7
198403,42.6,0.7
198404,47.3,-2.2
198405,64.1,6.2
198406,66.7,-0.7
198407,72.4,-0.8
198408,70.3,-0.8
198409,66.2,1.7
198410,47.9,-5.2
198411,40.8,-0.3
198412,32.8,-0.1
198501,31.8,-0.1
198502,34.2,-2.3
198503,41.5,-0.4
198504,53,3.5
198505,59.4,1.5
198506,70.3,2.9
198507,74.5,1.3
198508,72.8,1.7
198509,60.4,-4.1
198510,53.3,0.2
198511,39.3,-1.8
198512,34.8,1.9
198601,39.6,7.7
198602,40.4,3.9
198603,46.9,5
198604,51.2,1.7
198605,59.6,1.7
198606,69.7,2.3
198607,71.6,-1.6
198608,72.6,1.5
198609,60.2,-4.3
198610,50,-3.1
198611,42,0.9
198612,33.7,0.8
198701,31.1,-0.8
198702,36.1,-0.4
198703,39.4,-2.5
198704,52.9,3.4
198705,57.8,-0.1
198706,69.4,2
198707,70.7,-2.5
198708,70,-1.1
198709,64.1,-0.4
198710,56.6,3.5
198711,40.4,-0.7
198712,30.3,-2.6
198801,31.9,0
198802,38.9,2.4
198803,42.2,0.3
198804,49.9,0.4
198805,57.7,-0.2
198806,69.4,2
198807,74.8,1.6
198808,70.9,-0.2
198809,62.5,-2
198810,58.4,5.3
198811,42,0.9
198812,32,-0.9
198901,29.3,-2.6
198902,36,-0.5
198903,48.4,6.5
198904,56.7,7.2
198905,60.6,2.7
198906,68.4,1
198907,75.4,2.2
198908,70.3,-0.8
198909,65.1,0.6
198910,52.8,-0.3
198911,42.9,1.8
198912,34.2,1.3
199001,32.3,0.4
199002,34.9,-1.6
199003,44.5,2.6
199004,52.3,2.8
199005,57.7,-0.2
199006,71.1,3.7
199007,73.5,0.3
199008,70,-1.1
199009,66,1.5
199010,53.8,0.7
199011,41.4,0.3
199012,26.9,-6
199101,31.7,-0.2
199102,40.5,4
199103,38.4,-3.5
199104,47.8,-1.7
199105,55.4,-2.5
199106,64.8,-2.6
199107,73.6,0.4
199108,72.2,1.1
199109,65.2,0.7
199110,56.2,3.1
199111,40.7,-0.4
