Garfield County, Utah, Precipitation
Units: Inches,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
197901,2.32,1.21
197902,1.1,0.02
197903,2.66,1.43
197904,0.24,-0.71
197905,2,1.15
197906,0.01,-0.51
197907,0.24,-1.12
197908,1.2,-0.43
197909,0.08,-1.14
197910,0.23,-0.93
197911,1.1,0.17
197912,1.04,0.03
198001,3.06,1.95
198002,2.95,1.87
198003,2.28,1.05
198004,0.79,-0.16
198005,1.62,0.77
198006,0.06,-0.46
198007,0.67,-0.69
198008,1.21,-0.42
198009,2.42,1.2
198010,1.24,0.08
198011,0.29,-0.64
198012,0.17,-0.84
198101,0.23,-0.88
198102,0.32,-0.76
198103,2.43,1.2
198104,0.92,-0.03
198105,1.54,0.69
198106,0.46,-0.06
198107,1.36,0
198108,1.97,0.34
198109,1.83,0.61
198110,2.31,1.15
198111,1.25,0.32
198112,0.31,-0.7
198201,1.63,0.52
198202,0.57,-0.51
198203,1.51,0.28
198204,0.17,-0.78
198205,0.58,-0.27
198206,0.39,-0.13
198207,0.65,-0.71
198208,2.4,0.77
198209,2.07,0.85
198210,0.37,-0.79
198211,2.07,1.14
198212,1.33,0.32
198301,1.11,0
198302,0.87,-0.21
198303,3.16,1.93
198304,0.72,-0.23
198305,0.63,-0.22
198306,0.82,0.3
198307,1.27,-0.09
198308,1.7,0.07
198309,1.57,0.35
198310,0.58,-0.58
198311,1.81,0.88
198312,1.5,0.49
198401,0.35,-0.76
198402,0.36,-0.72
198403,1.29,0.06
198404,0.49,-0.46
198405,0.22,-0.63
198406,0.85,0.33
198407,2.07,0.71
198408,2.3,0.67
198409,0.46,-0.76
198410,1.63,0.47
198411,0.34,-0.59
198412,2.05,1.04
198501,0.69,-0.42
198502,0.44,-0.64
198503,1.99,0.76
198504,1.9,0.95
198505,1.12,0.27
198506,0.37,-0.15
198507,2.53,1.17
198508,0.17,-1.46
198509,1.25,0.03
198510,1.58,0.42
198511,1.83,0.9
198512,0.32,-0.69
198601,0.19,-0.92
198602,0.87,-0.21
198603,1.13,-0.1
198604,1.33,0.38
198605,0.45,-0.4
198606,0.26,-0.26
198607,1.43,0.07
198608,1.49,-0.14
198609,2.08,0.86
198610,1.96,0.8
198611,0.9,-0.03
198612,0.77,-0.24
198701,0.94,-0.17
198702,1.09,0.01
198703,1.41,0.18
198704,0.44,-0.51
198705,1.89,1.04
198706,0.26,-0.26
198707,1.84,0.48
198708,2.32,0.69
198709,0.54,-0.68
198710,2.03,0.87
198711,2.33,1.4
198712,0.69,-0.32
198801,1.18,0.07
198802,0.46,-0.62
198803,0.72,-0.51
198804,2.51,1.56
198805,0.58,-0.27
198806,0.99,0.47
198807,0.6,-0.76
198808,1.39,-0.24
198809,0.66,-0.56
198810,0.4,-0.76
198811,0.39,-0.54
198812,1.12,0.11
198901,0.89,-0.22
198902,0.84,-0.24
198903,0.85,-0.38
198904,0.2,-0.75
198905,0.72,-0.13
198906,0.24,-0.28
198907,1.09,-0.27
198908,1.86,0.23
198909,0.24,-0.98
198910,0.48,-0.68
198911,0.14,-0.79
198912,0.01,-1
199001,0.86,-0.25
199002,1.32,0.24
199003,0.81,-0.42
199004,1.07,0.12
199005,0.56,-0.29
199006,0.28,-0.24
199007,1.36,0
199008,1.16,-0.47
199009,1.84,0.62
199010,0.73,-0.43
199011,0.54,-0.39
199012,0.69,-0.32
199101,0.75,-0.36
199102,0.33,-0.75
199103,1.94,0.71
199104,0.41,-0.54
199105,1.09,0.24
199106,0.32,-0.2
199107,0.81,-0.55
199108,1.45,-0.18
199109,1.68,0.46
199110,0.86,-0.3
199111,1.49,0.56
199112,1,-0.01
199201,0.82,-0.29
199202,1.55,0.47
199203,2.79,1.56
199204,0.41,-0.54
199205,2.5,1.65
199206,0.38,-0.14
199207,0.85,-0.51
199208,2.15,0.52
199209,0.34,-0.88
199210,1.18,0.02
199211,0.32,-0.61
199212,1.4,0.39
199301,3.96,2.85
199302,3.28,2.2
199303,0.94,-0.29
199304,0.22,-0.73
199305,1.16,0.31
199306,0.53,0.01
199307,0.17,-1.19
199308,1.83,0.2
199309,0.19,-1.03
199310,2.07,0.91
199311,0.63,-0.3
199312,0.31,-0.7
199401,0.42,-0.69
199402,1.4,0.32
199403,0.36,-0.87
199404,1.36,0.41
199405,0.38,-0.47
199406,0.11,-0.41
199407,0.48,-0.88
199408,1.4,-0.23
199409,1.68,0.46
199410,1.38,0.22
199411,1.29,0.36
199412,1.09,0.08
199501,1.93,0.82
199502,0.83,-0.25
199503,2.59,1.36
199504,1.46,0.51
199505,1.59,0.74
199506,0.92,0.4
199507,0.6,-0.76
199508,1.39,-0.24
199509,0.63,-0.59
199510,0.06,-1.1
199511,0.24,-0.69
199512,0.51,-0.5
199601,0.72,-0.39
199602,1.18,0.1
199603,0.74,-0.49
199604,0.29,-0.66
199605,0.59,-0.26
199606,0.39,-0.13
199607,0.77,-0.59
199608,0.75,-0.88
199609,1.47,0.25
199610,1.34,0.18
199611,1.48,0.55
199612,0.9,-0.11
199701,2.46,1.35
199702,0.68,-0.4
199703,0.17,-1.06
199704,1.77,0.82
199705,0.57,-0.28
199706,0.87,0.35
199707,1.26,-0.1
199708,2.97,1.34
199709,4.13,2.91
199710,0.85,-0.31
199711,0.59,-0.34
199712,0.48,-0.53
199801,0.6,-0.51
199802,1.9,0.82
199803,1.25,0.02
199804,1.15,0.2
199805,0.66,-0.19
199806,0.79,0.27
199807,1.58,0.22
199808,0.61,-1.02
199809,3.4,2.18
199810,2.65,1.49
199811,1.01,0.08
199812,0.5,-0.51
199901,0.38,-0.73
199902,0.52,-0.56
199903,0.14,-1.09
199904,2.27,1.32
199905,0.57,-0.28
199906,0.98,0.46
199907,2.42,1.06
199908,2.71,1.08
199909,1.3,0.08
199910,0.05,-1.11
199911,0.11,-0.82
199912,0.35,-0.66
200001,0.76,-0.35
200002,1.29,0.21
200003,1.35,0.12
200004,0.15,-0.8
200005,0.35,-0.5
200006,0.48,-0.04
200007,0.37,-0.99
200008,1.72,0.09
200009,0.63,-0.59
200010,3.96,2.8
200011,0.38,-0.55
200012,0.32,-0.69
200101,1.67,0.56
200102,1.45,0.37
200103,1.48,0.25
200104,1.01,0.06
200105,0.69,-0.16
200106,0.62,0.1
200107,1.1,-0.26
200108,1.83,0.2
200109,0.35,-0.87
200110,0.28,-0.88
200111,0.9,-0.03
200112,0.58,-0.43
200201,0.2,-0.91
200202,0.17,-0.91
200203,0.3,-0.93
200204,0.26,-0.69
200205,0.1,-0.75
200206,0.05,-0.47
200207,0.69,-0.67
200208,0.49,-1.14
200209,2.91,1.69
200210,1.4,0.24
200211,0.58,-0.35
200212,0.7,-0.31
200301,0.26,-0.85
200302,1.68,0.6
200303,1.05,-0.18
200304,0.48,-0.47
200305,0.67,-0.18
200306,0.05,-0.47
