Grand County, Utah, Precipitation
Units: Inches,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
197901,1.61,0.67
197902,0.93,0.03
197903,2.6,1.56
197904,0.41,-0.56
197905,1.81,0.87
197906,0.29,-0.33
197907,0.52,-0.46
197908,0.43,-0.83
197909,0.1,-1.09
197910,0.33,-1
197911,0.89,0
197912,0.66,-0.2
198001,1.48,0.54
198002,2.37,1.47
198003,2.06,1.02
198004,0.83,-0.14
198005,2.34,1.4
198006,0.04,-0.58
198007,0.47,-0.51
198008,1.56,0.3
198009,1.03,-0.16
198010,1.28,-0.05
198011,1,0.11
198012,0.22,-0.64
198101,0.35,-0.59
198102,0.27,-0.63
198103,1.31,0.27
198104,0.88,-0.09
198105,1.18,0.24
198106,0.28,-0.34
198107,1.06,0.08
198108,1.57,0.31
198109,1.39,0.2
198110,2.62,1.29
198111,0.62,-0.27
198112,0.36,-0.5
198201,1.02,0.08
198202,0.24,-0.66
198203,1.04,0
198204,0.07,-0.9
198205,0.65,-0.29
198206,0.22,-0.4
198207,0.89,-0.09
198208,2.22,0.96
198209,3.43,2.24
198210,0.88,-0.45
198211,1.41,0.52
198212,0.94,0.08
198301,0.55,-0.39
198302,0.96,0.06
198303,1.74,0.7
198304,0.82,-0.15
198305,1.68,0.74
198306,1.18,0.56
198307,1.25,0.27
198308,1.64,0.38
198309,0.78,-0.41
198310,1.26,-0.07
198311,2.35,1.46
198312,1.79,0.93
198401,0.44,-0.5
198402,0.41,-0.49
198403,1.11,0.07
198404,1.68,0.71
198405,0.12,-0.82
198406,1.85,1.23
198407,1.92,0.94
198408,1.55,0.29
198409,0.51,-0.68
198410,2.79,1.46
198411,0.4,-0.49
198412,1.41,0.55
198501,1,0.06
198502,0.19,-0.71
198503,1.43,0.39
198504,2.22,1.25
198505,1.09,0.15
198506,0.62,0
198507,1.82,0.84
198508,0.05,-1.21
198509,2.06,0.87
198510,2.29,0.96
198511,1.77,0.88
198512,0.7,-0.16
198601,0.25,-0.69
198602,0.49,-0.41
198603,0.78,-0.26
198604,1.55,0.58
198605,1.39,0.45
198606,0.42,-0.2
198607,1.85,0.87
198608,1.24,-0.02
198609,1.61,0.42
198610,2.07,0.74
198611,0.94,0.05
198612,0.65,-0.21
198701,0.81,-0.13
198702,1.31,0.41
198703,1.82,0.78
198704,0.44,-0.53
198705,1.49,0.55
198706,0.47,-0.15
198707,2.25,1.27
198708,1.3,0.04
198709,0.31,-0.88
198710,1.98,0.65
198711,2.18,1.29
198712,1.32,0.46
198801,1.08,0.14
198802,0.27,-0.63
198803,1.1,0.06
198804,1.21,0.24
198805,1.28,0.34
198806,0.67,0.05
198807,0.6,-0.38
198808,1.15,-0.11
198809,1.19,0
198810,0.36,-0.97
198811,0.76,-0.13
198812,0.9,0.04
198901,0.93,-0.01
198902,0.88,-0.02
198903,0.87,-0.17
198904,0.1,-0.87
198905,0.54,-0.4
198906,0.21,-0.41
198907,1.06,0.08
198908,1.25,-0.01
198909,0.42,-0.77
198910,0.57,-0.76
198911,0.18,-0.71
198912,0.06,-0.8
199001,0.81,-0.13
199002,0.82,-0.08
199003,0.95,-0.09
199004,0.69,-0.28
199005,0.39,-0.55
199006,0.62,0
199007,1,0.02
199008,0.63,-0.63
199009,1.75,0.56
199010,0.82,-0.51
199011,0.82,-0.07
199012,0.76,-0.1
199101,0.77,-0.17
199102,0.26,-0.64
199103,1.79,0.75
199104,0.65,-0.32
199105,0.46,-0.48
199106,0.41,-0.21
199107,1.14,0.16
199108,1.4,0.14
199109,1.98,0.79
199110,1.81,0.48
199111,1.26,0.37
199112,0.79,-0.07
199201,0.51,-0.43
199202,1.24,0.34
199203,1.51,0.47
199204,0.35,-0.62
199205,2.42,1.48
199206,0.34,-0.28
199207,1.16,0.18
199208,0.7,-0.56
199209,0.49,-0.7
199210,1.45,0.12
199211,0.82,-0.07
199212,1.18,0.32
199301,2.97,2.03
199302,2.2,1.3
199303,1.05,0.01
199304,0.95,-0.02
199305,2.3,1.36
199306,0.34,-0.28
199307,0.1,-0.88
199308,1.23,-0.03
199309,0.35,-0.84
199310,2.83,1.5
199311,0.66,-0.23
199312,0.43,-0.43
199401,0.42,-0.52
199402,1.33,0.43
199403,0.19,-0.85
199404,2.35,1.38
199405,0.34,-0.6
199406,0.1,-0.52
199407,0.2,-0.78
199408,1.04,-0.22
199409,1.59,0.4
199410,1.64,0.31
199411,1.46,0.57
199412,0.87,0.01
199501,1.18,0.24
199502,0.67,-0.23
199503,1.68,0.64
199504,0.98,0.01
199505,2.64,1.7
199506,1.49,0.87
199507,0.76,-0.22
199508,1.15,-0.11
199509,0.61,-0.58
199510,0.2,-1.13
199511,0.25,-0.64
199512,0.3,-0.56
199601,0.85,-0.09
199602,1.24,0.34
199603,1.01,-0.03
199604,0.9,-0.07
199605,0.76,-0.18
199606,0.95,0.33
199607,0.8,-0.18
199608,0.29,-0.97
199609,2.02,0.83
199610,1.75,0.42
199611,1.44,0.55
199612,0.65,-0.21
199701,1.53,0.59
199702,0.89,-0.01
199703,0.24,-0.8
199704,2.2,1.23
199705,1.07,0.13
199706,0.52,-0.1
199707,1.21,0.23
199708,2.54,1.28
199709,3.01,1.82
199710,1.44,0.11
199711,0.9,0.01
199712,0.55,-0.31
199801,0.7,-0.24
199802,1.23,0.33
199803,1.5,0.46
199804,1.37,0.4
199805,0.58,-0.36
199806,0.95,0.33
199807,1.24,0.26
199808,0.26,-1
199809,1.17,-0.02
199810,2.2,0.87
199811,0.9,0.01
199812,0.43,-0.43
199901,0.45,-0.49
199902,0.56,-0.34
199903,0.11,-0.93
199904,2.76,1.79
199905,0.77,-0.17
199906,1.2,0.58
199907,2.26,1.28
199908,2.24,0.98
199909,1.01,-0.18
199910,0.09,-1.24
199911,0.14,-0.75
199912,0.4,-0.46
200001,1.07,0.13
200002,1.19,0.29
200003,1.48,0.44
200004,0.34,-0.63
200005,0.52,-0.42
200006,0.54,-0.08
200007,0.43,-0.55
200008,1.23,-0.03
200009,0.9,-0.29
200010,1.95,0.62
200011,0.66,-0.23
200012,0.57,-0.29
200101,1.09,0.15
200102,1.18,0.28
200103,1.03,-0.01
200104,1.32,0.35
200105,1.44,0.5
200106,0.12,-0.5
200107,1.74,0.76
200108,1.57,0.31
200109,0.49,-0.7
200110,0.41,-0.92
200111,1.02,0.13
200112,0.6,-0.26
200201,0.4,-0.54
200202,0.15,-0.75
200203,0.37,-0.67
200204,0.38,-0.59
200205,0.22,-0.72
200206,0.15,-0.47
200207,0.49,-0.49
200208,0.57,-0.69
200209,3.11,1.92
200210,1.1,-0.23
200211,0.73,-0.16
200212,0.32,-0.54
200301,0.22,-0.72
200302,1.36,0.46
200303,1.41,0.37
200304,0.31,-0.66
200305,1.19,0.25
200306,0.26,-0.36
200307,0.18,-0.8
200308,0.96,-0.3
