Grand County, Utah, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
197901,16,-8.3
197902,22.2,-8.8
197903,37.3,-2.1
197904,48.4,0.3
197905,57.3,-0.6
197906,67.9,0.2
197907,75.3,0.8
197908,71.3,-0.6
197909,67.8,4.7
197910,54.5,3.6
197911,30.5,-6.2
197912,25.4,-1.2
198001,30.9,6.6
198002,36.1,5.1
198003,37.5,-1.9
198004,47.4,-0.7
198005,55.2,-2.7
198006,69.1,1.4
198007,76,1.5
198008,71.8,-0.1
198009,63.6,0.5
198010,50.5,-0.4
198011,38.6,1.9
198012,36.4,9.8
198101,34.3,10
198102,35.2,4.2
198103,40.8,1.4
198104,53.5,5.4
198105,57.6,-0.3
198106,72,4.3
198107,76,1.5
198108,72.9,1
198109,66,2.9
198110,50,-0.9
198111,40.5,3.8
198112,30.7,4.1
198201,25,0.7
198202,30.8,-0.2
198203,41.1,1.7
198204,46.7,-1.4
198205,58,0.1
198206,66.6,-1.1
198207,74.6,0.1
198208,73.4,1.5
198209,63.6,0.5
198210,47.3,-3.6
198211,35.8,-0.9
198212,29.1,2.5
198301,29.8,5.5
198302,36,5
198303,40.9,1.5
198304,43.4,-4.7
198305,54.5,-3.4
198306,65.6,-2.1
198307,73.6,-0.9
198308,74,2.1
198309,66.6,3.5
198310,52.6,1.7
198311,38.1,1.4
198312,27,0.4
198401,19.2,-5.1
198402,27,-4
198403,38.6,-0.8
198404,44.4,-3.7
198405,62.2,4.3
198406,65.8,-1.9
198407,75.2,0.7
198408,72.8,0.9
198409,64.6,1.5
198410,45.9,-5
198411,37.3,0.6
198412,28.9,2.3
198501,25.6,1.3
198502,26.8,-4.2
198503,39.8,0.4
198504,50.9,2.8
198505,60.4,2.5
198506,71.2,3.5
198507,75.8,1.3
198508,74.1,2.2
198509,59.5,-3.6
198510,50.8,-0.1
198511,36.7,0
198512,29.6,3
198601,31.8,7.5
198602,37.6,6.6
198603,46.4,7
198604,49,0.9
198605,57.3,-0.6
198606,71.3,3.6
198607,73.2,-1.3
198608,74.1,2.2
198609,60,-3.1
198610,48.5,-2.4
198611,38.4,1.7
198612,29.7,3.1
198701,25,0.7
198702,33.5,2.5
198703,37.2,-2.2
198704,51.6,3.5
198705,58.9,1
198706,70.7,3
198707,72.8,-1.7
198708,70.8,-1.1
198709,64.1,1
198710,54.9,4
198711,37.3,0.6
198712,26.2,-0.4
198801,19.7,-4.6
198802,30.1,-0.9
198803,37.5,-1.9
198804,49.8,1.7
198805,58.7,0.8
198806,72.7,5
198807,77.2,2.7
198808,73.7,1.8
198809,62,-1.1
198810,57.1,6.2
198811,38.3,1.6
198812,27.6,1
198901,19.7,-4.6
198902,28.4,-2.6
198903,45,5.6
198904,54.6,6.5
198905,60.4,2.5
198906,68.1,0.4
198907,77.9,3.4
198908,71.4,-0.5
198909,65.1,2
198910,52.1,1.2
198911,39.8,3.1
198912,28.9,2.3
199001,27.5,3.2
199002,33.4,2.4
199003,44.2,4.8
199004,53.5,5.4
199005,58.1,0.2
199006,72.1,4.4
199007,75.7,1.2
199008,73.4,1.5
199009,67.5,4.4
199010,51.3,0.4
199011,37.7,1
199012,21.5,-5.1
199101,20.7,-3.6
199102,32.3,1.3
199103,39,-0.4
199104,46.2,-1.9
199105,58.2,0.3
199106,68.6,0.9
199107,75.3,0.8
199108,73.2,1.3
199109,64.3,1.2
199110,53.5,2.6
199111,35.8,-0.9
199112,25,-1.6
199201,20.8,-3.5
199202,34.2,3.2
