Mariposa County, California, Precipitation
Units: Inches,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
197901,9.44,3.07
197902,8.22,2.43
197903,6.26,0.94
197904,1.21,-1.52
197905,0.96,-0.35
197906,0.01,-0.39
197907,0.18,0.09
197908,0.01,-0.08
197909,0.02,-0.5
197910,2.32,0.76
197911,3.29,-0.14
197912,4.94,-0.25
198001,13.65,7.28
198002,11.24,5.45
198003,4.28,-1.04
198004,2.26,-0.47
198005,1.86,0.55
198006,0.09,-0.31
198007,0.18,0.09
198008,0.03,-0.06
198009,0.15,-0.37
198010,0.57,-0.99
198011,0.78,-2.65
198012,2.57,-2.62
198101,7.36,0.99
198102,2.25,-3.54
198103,6.56,1.24
198104,1.56,-1.17
198105,0.68,-0.63
198106,0.02,-0.38
198107,0.02,-0.07
198108,0.04,-0.05
198109,0.18,-0.34
198110,3.48,1.92
198111,7.53,4.1
198112,5.38,0.19
198201,9.19,2.82
198202,5.75,-0.04
198203,10.49,5.17
198204,6.4,3.67
198205,0.46,-0.85
198206,1.46,1.06
198207,0.13,0.04
198208,0.25,0.16
198209,2.56,2.04
198210,4.82,3.26
198211,8.41,4.98
198212,7.88,2.69
198301,9.01,2.64
198302,8.72,2.93
198303,12.59,7.27
198304,4.97,2.24
198305,0.92,-0.39
198306,0.23,-0.17
198307,0,-0.09
198308,0.33,0.24
198309,1.34,0.82
198310,1.17,-0.39
198311,10.97,7.54
198312,11.12,5.93
198401,0.29,-6.08
198402,3.51,-2.28
198403,2.32,-3
198404,1.68,-1.05
198405,0.33,-0.98
198406,0.87,0.47
198407,0.22,0.13
198408,0.07,-0.02
198409,0.25,-0.27
198410,2.79,1.23
198411,7.36,3.93
198412,1.81,-3.38
198501,1,-5.37
198502,2.8,-2.99
198503,5.72,0.4
198504,0.61,-2.12
198505,0.04,-1.27
198506,0.35,-0.05
198507,0.27,0.18
198508,0.07,-0.02
198509,1.12,0.6
198510,1.74,0.18
198511,6.24,2.81
198512,3.42,-1.77
198601,3.49,-2.88
198602,17.5,11.71
198603,7.91,2.59
198604,1.21,-1.52
198605,0.77,-0.54
198606,0.01,-0.39
198607,0.21,0.12
198608,0.01,-0.08
198609,1.88,1.36
198610,0.07,-1.49
198611,0.15,-3.28
198612,1.12,-4.07
198701,3.03,-3.34
198702,4.96,-0.83
198703,4.9,-0.42
198704,0.76,-1.97
198705,1.04,-0.27
198706,0.14,-0.26
198707,0.01,-0.08
198708,0,-0.09
198709,0.13,-0.39
198710,2.34,0.78
198711,2.16,-1.27
198712,4.09,-1.1
198801,4.36,-2.01
198802,0.96,-4.83
198803,1.22,-4.1
198804,4.1,1.37
198805,1.47,0.16
198806,0.21,-0.19
198807,0.25,0.16
198808,0.02,-0.07
198809,0.13,-0.39
198810,0,-1.56
198811,5.27,1.84
198812,5.36,0.17
198901,1.37,-5
198902,2.82,-2.97
198903,7.2,1.88
198904,0.86,-1.87
198905,1.33,0.02
198906,0.41,0.01
198907,0,-0.09
198908,0.15,0.06
198909,2.36,1.84
198910,3.71,2.15
198911,2.27,-1.16
198912,0.02,-5.17
199001,4.95,-1.42
199002,4.19,-1.6
199003,2.03,-3.29
199004,2.05,-0.68
199005,2.67,1.36
199006,0.15,-0.25
199007,0.21,0.12
199008,0.05,-0.04
199009,0.29,-0.23
199010,0.14,-1.42
199011,1.27,-2.16
199012,1.35,-3.84
199101,0.85,-5.52
199102,2.82,-2.97
199103,16.9,11.58
199104,0.7,-2.03
199105,1.16,-0.15
199106,0.37,-0.03
199107,0.01,-0.08
199108,0.08,-0.01
199109,0.12,-0.4
199110,3.68,2.12
199111,1.46,-1.97
199112,3.05,-2.14
199201,1.85,-4.52
199202,7.43,1.64
199203,3.61,-1.71
199204,0.44,-2.29
199205,0.21,-1.1
199206,0.58,0.18
199207,0.66,0.57
199208,0.05,-0.04
199209,0.05,-0.47
199210,2.55,0.99
199211,0.26,-3.17
199212,8.86,3.67
199301,13.12,6.75
199302,8.08,2.29
199303,5.19,-0.13
199304,1.32,-1.41
199305,1.38,0.07
199306,1.53,1.13
199307,0,-0.09
199308,0,-0.09
199309,0,-0.52
199310,1.11,-0.45
199311,1.66,-1.77
199312,2.62,-2.57
199401,2.39,-3.98
199402,6.36,0.57
199403,1.01,-4.31
199404,2.9,0.17
199405,2.31,1
199406,0.01,-0.39
199407,0.01,-0.08
199408,0,-0.09
199409,0.98,0.46
199410,2.25,0.69
199411,6.4,2.97
199412,3.15,-2.04
199501,15.7,9.33
199502,1.29,-4.5
199503,15.02,9.7
199504,4.36,1.63
199505,3.38,2.07
199506,1.37,0.97
199507,0.09,0
199508,0.01,-0.08
199509,0.01,-0.51
199510,0,-1.56
199511,0.07,-3.36
199512,7.36,2.17
199601,7.91,1.54
199602,8.6,2.81
199603,5.26,-0.06
199604,3.3,0.57
199605,2.93,1.62
199606,0.56,0.16
199607,0.16,0.07
199608,0.05,-0.04
199609,0.04,-0.48
199610,3.26,1.7
199611,8.39,4.96
199612,14.57,9.38
199701,14.71,8.34
199702,0.44,-5.35
199703,0.15,-5.17
199704,0.46,-2.27
199705,0.23,-1.08
199706,0.42,0.02
199707,0.1,0.01
199708,0.13,0.04
199709,0.39,-0.13
199710,0.5,-1.06
199711,4.03,0.6
199712,3.29,-1.9
199801,10.92,4.55
199802,14.52,8.73
199803,6.62,1.3
199804,3.61,0.88
199805,4.05,2.74
199806,1.47,1.07
199807,0.01,-0.08
199808,0,-0.09
199809,0.97,0.45
199810,0.44,-1.12
199811,3.39,-0.04
199812,2.39,-2.8
199901,6.96,0.59
199902,7.44,1.65
199903,2.5,-2.82
199904,3.18,0.45
199905,0.43,-0.88
199906,0.41,0.01
199907,0.04,-0.05
199908,0.08,-0.01
199909,0.07,-0.45
199910,0.32,-1.24
199911,2.68,-0.75
199912,0.17,-5.02
200001,10.33,3.96
200002,12.19,6.4
200003,2.42,-2.9
200004,3.04,0.31
200005,1.7,0.39
200006,0.79,0.39
200007,0.01,-0.08
200008,0.06,-0.03
200009,0.56,0.04
200010,3.92,2.36
200011,0.81,-2.62
200012,0.64,-4.55
200101,5.47,-0.9
200102,5.94,0.15
200103,3.31,-2.01
200104,3.93,1.2
200105,0.07,-1.24
200106,0,-0.4
200107,0.22,0.13
200108,0.01,-0.08
200109,0.32,-0.2
200110,1.03,-0.53
200111,6.2,2.77
200112,8.53,3.34
200201,2.45,-3.92
200202,1.87,-3.92
200203,3.41,-1.91
200204,1.38,-1.35
200205,1.45,0.14
200206,0.07,-0.33
200207,0.02,-0.07
200208,0,-0.09
200209,0.28,-0.24
200210,0.11,-1.45
200211,6.31,2.88
200212,9.1,3.91
200301,1,-5.37
200302,2.66,-3.13
200303,2.66,-2.66
200304,6.92,4.19
200305,2.42,1.11
200306,0.01,-0.39
200307,0.26,0.17
200308,0.46,0.37
