Teton County, Wyoming, Precipitation
Units: Inches,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
197901,4.07,-0.43
197902,3.91,0.19
197903,2.61,-1.04
197904,1.89,-0.97
197905,1.71,-1.26
197906,1.48,-0.98
197907,0.85,-0.53
197908,2.25,0.74
197909,0.61,-1.24
197910,2.1,-0.08
197911,1.94,-1.57
197912,1.38,-2.54
198001,6.89,2.39
198002,3.09,-0.63
198003,3.81,0.16
198004,1.79,-1.07
198005,5.62,2.65
198006,2.37,-0.09
198007,2.07,0.69
198008,2.05,0.54
198009,2.89,1.04
198010,1.25,-0.93
198011,2.56,-0.95
198012,4.16,0.24
198101,1.66,-2.84
198102,2.53,-1.19
198103,2.05,-1.6
198104,3.07,0.21
198105,5.55,2.58
198106,3.69,1.23
198107,0.9,-0.48
198108,0.67,-0.84
198109,0.7,-1.15
198110,2.89,0.71
198111,5.29,1.78
198112,6.86,2.94
198201,6.37,1.87
198202,3.84,0.12
198203,5.07,1.42
198204,4.92,2.06
198205,2.57,-0.4
198206,2.35,-0.11
198207,2.37,0.99
198208,1.33,-0.18
198209,3.1,1.25
198210,2.74,0.56
198211,3.2,-0.31
198212,5.17,1.25
198301,3.31,-1.19
198302,4,0.28
198303,4.26,0.61
198304,2.47,-0.39
198305,2.61,-0.36
198306,1.86,-0.6
198307,2.63,1.25
198308,2.71,1.2
198309,2.96,1.11
198310,3.52,1.34
198311,6.58,3.07
198312,6.18,2.26
198401,1.49,-3.01
198402,2.31,-1.41
198403,3.05,-0.6
198404,2.91,0.05
198405,4.03,1.06
198406,3.04,0.58
198407,2.28,0.9
198408,1.99,0.48
198409,2.47,0.62
198410,2.44,0.26
198411,4.4,0.89
198412,3.97,0.05
198501,1.07,-3.43
198502,3.25,-0.47
198503,4.16,0.51
198504,1.54,-1.32
198505,2.99,0.02
198506,1.52,-0.94
198507,2.66,1.28
198508,0.56,-0.95
198509,3.53,1.68
198510,3.02,0.84
198511,5.91,2.4
198512,2.24,-1.68
198601,4.04,-0.46
198602,10.33,6.61
198603,2.74,-0.91
198604,4.32,1.46
198605,2.76,-0.21
198606,1.15,-1.31
198607,2.43,1.05
198608,1.63,0.12
198609,2.73,0.88
198610,1.36,-0.82
198611,4.71,1.2
198612,0.61,-3.31
198701,3.28,-1.22
198702,2.06,-1.66
198703,2.04,-1.61
198704,1.14,-1.72
198705,4.88,1.91
198706,1.6,-0.86
198707,3.63,2.25
198708,1.08,-0.43
198709,0.15,-1.7
198710,0.25,-1.93
198711,2.69,-0.82
198712,4.34,0.42
198801,4.1,-0.4
198802,2.23,-1.49
198803,2.79,-0.86
198804,3.76,0.9
198805,2.31,-0.66
198806,0.59,-1.87
198807,0.24,-1.14
198808,0.44,-1.07
198809,0.86,-0.99
198810,0.39,-1.79
198811,8.29,4.78
198812,2.15,-1.77
198901,5.43,0.93
198902,2.83,-0.89
198903,7.21,3.56
198904,2.27,-0.59
198905,3,0.03
198906,2.23,-0.23
198907,0.98,-0.4
198908,1.77,0.26
198909,1.63,-0.22
198910,2.69,0.51
198911,3.62,0.11
198912,1.86,-2.06
199001,5.42,0.92
199002,2.59,-1.13
199003,1.79,-1.86
199004,3.84,0.98
199005,2.71,-0.26
199006,1.57,-0.89
199007,1.27,-0.11
199008,1.31,-0.2
199009,1.45,-0.4
199010,3.22,1.04
199011,3.67,0.16
199012,2.94,-0.98
199101,2.04,-2.46
199102,1.23,-2.49
199103,5.2,1.55
199104,3.38,0.52
199105,5.24,2.27
199106,1.5,-0.96
199107,0.88,-0.5
199108,1.66,0.15
199109,2.52,0.67
199110,2.4,0.22
199111,5.01,1.5
199112,2.06,-1.86
199201,0.73,-3.77
199202,2.47,-1.25
199203,1.4,-2.25
199204,3.71,0.85
199205,1.44,-1.53
199206,3.39,0.93
199207,1.82,0.44
199208,0.6,-0.91
199209,1.89,0.04
199210,1.54,-0.64
199211,2.29,-1.22
199212,5.91,1.99
199301,3.51,-0.99
199302,3.86,0.14
199303,3.36,-0.29
199304,4.12,1.26
199305,4.05,1.08
199306,3.76,1.3
199307,3.27,1.89
199308,1.88,0.37
199309,0.52,-1.33
199310,1.93,-0.25
199311,1.58,-1.93
199312,2.9,-1.02
199401,2.94,-1.56
199402,5.34,1.62
199403,1.21,-2.44
199404,2.2,-0.66
199405,2.54,-0.43
199406,1.65,-0.81
199407,0.54,-0.84
199408,1.19,-0.32
199409,0.87,-0.98
199410,3.93,1.75
199411,4.53,1.02
199412,4.71,0.79
199501,4.81,0.31
199502,3.04,-0.68
199503,6.77,3.12
199504,4.15,1.29
199505,3.66,0.69
199506,2.66,0.2
199507,2.24,0.86
199508,1.55,0.04
199509,1.15,-0.7
199510,2.42,0.24
199511,6.84,3.33
199512,5.04,1.12
199601,7.22,2.72
199602,4.18,0.46
199603,3.71,0.06
199604,3.6,0.74
199605,5.71,2.74
199606,1.52,-0.94
199607,1.06,-0.32
199608,0.57,-0.94
199609,1.67,-0.18
199610,2.04,-0.14
199611,5.89,2.38
199612,13.21,9.29
199701,8.04,3.54
199702,3,-0.72
199703,4.23,0.58
199704,3.29,0.43
199705,3.4,0.43
199706,2.8,0.34
199707,3.25,1.87
199708,2.54,1.03
199709,2.83,0.98
199710,2.9,0.72
199711,3.01,-0.5
199712,2.16,-1.76
199801,7.54,3.04
199802,2.2,-1.52
199803,3.95,0.3
199804,2.72,-0.14
199805,3.27,0.3
199806,5.22,2.76
199807,1.28,-0.1
199808,1.55,0.04
199809,2.12,0.27
199810,1.53,-0.65
199811,5.43,1.92
199812,3.93,0.01
199901,6.22,1.72
199902,6.83,3.11
199903,2.3,-1.35
199904,3.02,0.16
199905,3.39,0.42
199906,2.96,0.5
199907,0.97,-0.41
199908,1.95,0.44
199909,1.47,-0.38
199910,0.54,-1.64
199911,2.24,-1.27
199912,3.32,-0.6
200001,5.04,0.54
200002,4.26,0.54
200003,3.04,-0.61
200004,1.99,-0.87
200005,3.83,0.86
200006,1.74,-0.72
200007,0.71,-0.67
200008,1.07,-0.44
200009,1.34,-0.51
200010,2.79,0.61
200011,1.98,-1.53
200012,3.42,-0.5
200101,1.02,-3.48
200102,3.09,-0.63
200103,1.94,-1.71
200104,3.1,0.24
200105,2.09,-0.88
200106,1.87,-0.59
200107,1.08,-0.3
200108,0.6,-0.91
200109,1.11,-0.74
200110,2.8,0.62
200111,3.12,-0.39
200112,4.56,0.64
200201,3.56,-0.94
200202,1.7,-2.02
200203,3.78,0.13
200204,3.93,1.07
200205,2.12,-0.85
200206,1.81,-0.65
200207,1.18,-0.2
200208,0.79,-0.72
200209,2.98,1.13
200210,2.08,-0.1
200211,2.77,-0.74
200212,3.04,-0.88
200301,4.59,0.09
200302,2.84,-0.88
200303,4.77,1.12
200304,2.18,-0.68
200305,2.14,-0.83
200306,1.03,-1.43
200307,0.43,-0.95
