Washington County, Utah, Precipitation
Units: Inches,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
197901,3.17,1.44
197902,2.01,0.08
197903,4.08,2.17
197904,0.33,-0.7
197905,0.89,0.1
197906,0,-0.41
197907,0.54,-0.65
197908,1.68,0.25
197909,0,-1.03
197910,0.42,-0.71
197911,0.55,-0.59
197912,0.45,-0.96
198001,6.92,5.19
198002,5.66,3.73
198003,2.59,0.68
198004,0.62,-0.41
198005,1.32,0.53
198006,0.08,-0.33
198007,1.12,-0.07
198008,0.97,-0.46
198009,2.17,1.14
198010,1.46,0.33
198011,0.39,-0.75
198012,0.43,-0.98
198101,0.65,-1.08
198102,0.97,-0.96
198103,4,2.09
198104,1.49,0.46
198105,1.29,0.5
198106,0.21,-0.2
198107,0.92,-0.27
198108,1.3,-0.13
198109,1.11,0.08
198110,0.99,-0.14
198111,0.86,-0.28
198112,0.2,-1.21
198201,2.3,0.57
198202,1.05,-0.88
198203,3.5,1.59
198204,0.55,-0.48
198205,0.49,-0.3
198206,0.28,-0.13
198207,1.04,-0.15
198208,2.42,0.99
198209,2.19,1.16
198210,0.66,-0.47
198211,2.88,1.74
198212,2.88,1.47
198301,1.75,0.02
198302,1.99,0.06
198303,5.38,3.47
198304,1.92,0.89
198305,0.36,-0.43
198306,0.15,-0.26
198307,0.98,-0.21
198308,3.36,1.93
198309,1.72,0.69
198310,1.38,0.25
198311,2.06,0.92
198312,1.37,-0.04
198401,0.33,-1.4
198402,0.51,-1.42
198403,1.38,-0.53
198404,0.44,-0.59
198405,0.08,-0.71
198406,0.42,0.01
198407,3.67,2.48
198408,1.4,-0.03
198409,0.66,-0.37
198410,1.2,0.07
198411,1.13,-0.01
198412,3.52,2.11
198501,1.35,-0.38
198502,0.59,-1.34
198503,1.6,-0.31
198504,0.76,-0.27
198505,0.44,-0.35
198506,0.26,-0.15
198507,1.76,0.57
198508,0.12,-1.31
198509,1.32,0.29
198510,1.52,0.39
198511,2.65,1.51
198512,0.64,-0.77
198601,0.59,-1.14
198602,1.81,-0.12
198603,2.44,0.53
198604,1.04,0.01
198605,0.28,-0.51
198606,0.15,-0.26
198607,1.25,0.06
198608,1.67,0.24
198609,1.85,0.82
198610,0.8,-0.33
198611,0.69,-0.45
198612,0.5,-0.91
198701,1.61,-0.12
198702,1.75,-0.18
198703,2.02,0.11
198704,0.51,-0.52
198705,1.18,0.39
198706,0.53,0.12
198707,1.57,0.38
198708,1.31,-0.12
198709,0.28,-0.75
198710,2.82,1.69
198711,2.93,1.79
198712,1.13,-0.28
198801,1.86,0.13
198802,0.48,-1.45
198803,0.59,-1.32
198804,4.07,3.04
198805,0.78,-0.01
198806,0.79,0.38
198807,0.98,-0.21
198808,1.65,0.22
198809,0.22,-0.81
198810,0.16,-0.97
198811,0.78,-0.36
198812,1.77,0.36
198901,1.27,-0.46
198902,1.14,-0.79
198903,1.07,-0.84
198904,0.04,-0.99
198905,0.91,0.12
198906,0.08,-0.33
198907,0.52,-0.67
198908,1.92,0.49
198909,0.25,-0.78
198910,0.95,-0.18
198911,0.25,-0.89
198912,0,-1.41
199001,1.4,-0.33
199002,1.81,-0.12
199003,0.94,-0.97
199004,1.5,0.47
199005,1.04,0.25
199006,0.75,0.34
199007,1.28,0.09
199008,1.16,-0.27
199009,1.58,0.55
199010,0.5,-0.63
199011,1.22,0.08
199012,0.98,-0.43
199101,0.84,-0.89
199102,0.9,-1.03
199103,3.72,1.81
199104,0.18,-0.85
199105,0.72,-0.07
199106,0.36,-0.05
199107,0.51,-0.68
199108,0.78,-0.65
199109,1.65,0.62
199110,1.6,0.47
199111,1.12,-0.02
199112,1.06,-0.35
199201,1.19,-0.54
199202,3.29,1.36
199203,5.32,3.41
199204,0.15,-0.88
199205,1.53,0.74
199206,0.15,-0.26
199207,0.84,-0.35
199208,1.78,0.35
199209,0.24,-0.79
199210,2.25,1.12
199211,0.09,-1.05
199212,2.36,0.95
199301,6.74,5.01
199302,5.26,3.33
199303,1.63,-0.28
199304,0.4,-0.63
199305,0.49,-0.3
199306,0.63,0.22
199307,0.03,-1.16
199308,1.54,0.11
199309,0.02,-1.01
199310,1.18,0.05
199311,1.21,0.07
199312,0.7,-0.71
199401,0.36,-1.37
199402,3.18,1.25
199403,1.15,-0.76
199404,2.01,0.98
199405,0.81,0.02
199406,0.28,-0.13
199407,0.6,-0.59
199408,1.17,-0.26
199409,0.76,-0.27
199410,1.55,0.42
199411,2.29,1.15
199412,1.58,0.17
199501,4.37,2.64
199502,1.6,-0.33
199503,5.7,3.79
199504,1.54,0.51
199505,1.95,1.16
199506,1.55,1.14
199507,0.14,-1.05
199508,0.77,-0.66
199509,0.64,-0.39
199510,0.01,-1.12
199511,0.7,-0.44
199512,0.6,-0.81
199601,0.86,-0.87
199602,2.43,0.5
199603,0.89,-1.02
199604,0.26,-0.77
199605,0.82,0.03
199606,0.03,-0.38
199607,1.16,-0.03
199608,0.27,-1.16
199609,0.93,-0.1
199610,1.3,0.17
199611,2.44,1.3
199612,1.89,0.48
199701,3.57,1.84
199702,0.79,-1.14
199703,0.11,-1.8
199704,0.74,-0.29
199705,0.51,-0.28
199706,0.32,-0.09
199707,0.48,-0.71
199708,2.23,0.8
199709,4.12,3.09
199710,0.49,-0.64
199711,1.26,0.12
199712,0.83,-0.58
199801,1.44,-0.29
199802,4.85,2.92
199803,2.59,0.68
199804,1.76,0.73
199805,1.17,0.38
199806,0.94,0.53
199807,2.25,1.06
199808,0.8,-0.63
199809,2.96,1.93
199810,2.31,1.18
199811,1.36,0.22
199812,0.22,-1.19
199901,0.61,-1.12
199902,1.04,-0.89
199903,0.26,-1.65
199904,1.79,0.76
199905,0.33,-0.46
199906,1.56,1.15
199907,2.39,1.2
199908,1.52,0.09
199909,0.47,-0.56
199910,0.07,-1.06
199911,0.17,-0.97
199912,0.12,-1.29
200001,1.29,-0.44
200002,3.95,2.02
200003,1.79,-0.12
200004,0.43,-0.6
200005,0.27,-0.52
200006,0.2,-0.21
200007,0.11,-1.08
200008,2.7,1.27
200009,0.25,-0.78
200010,3.42,2.29
200011,0.72,-0.42
200012,0.2,-1.21
200101,1.87,0.14
200102,1.95,0.02
200103,1.91,0
200104,1.52,0.49
200105,0.22,-0.57
200106,0.18,-0.23
200107,0.54,-0.65
200108,1.5,0.07
200109,0.09,-0.94
200110,0.25,-0.88
200111,0.85,-0.29
200112,1.25,-0.16
200201,0.15,-1.58
200202,0.15,-1.78
200203,0.45,-1.46
200204,0.18,-0.85
200205,0.01,-0.78
200206,0.03,-0.38
200207,0.35,-0.84
200208,0.03,-1.4
200209,1.59,0.56
200210,1.24,0.11
200211,1.07,-0.07
200212,0.84,-0.57
200301,0.2,-1.53
200302,2.94,1.01
200303,1.76,-0.15
200304,1.33,0.3
200305,0.36,-0.43
200306,0.02,-0.39
