Washington County, Utah, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
197901,29.6,-5.6
197902,34.7,-4.7
197903,44.3,-0.3
197904,51.2,-0.7
197905,61,0.4
197906,70.5,0.3
197907,76.9,0.1
197908,73.4,-1.6
197909,72.4,4.7
197910,60,3.5
197911,41.9,-2.4
197912,39.5,3.2
198001,38.8,3.6
198002,42.9,3.5
198003,41.4,-3.2
198004,52.3,0.4
198005,57.2,-3.4
198006,69.2,-1
198007,77.2,0.4
198008,74,-1
198009,67.9,0.2
198010,56.7,0.2
198011,46.3,2
198012,43.6,7.3
198101,40.7,5.5
198102,41.9,2.5
198103,43.6,-1
198104,55.7,3.8
198105,60.5,-0.1
198106,74.5,4.3
198107,79,2.2
198108,76.5,1.5
198109,69.6,1.9
198110,53.5,-3
198111,48.4,4.1
198112,40.7,4.4
198201,33.8,-1.4
198202,39.3,-0.1
198203,43.4,-1.2
198204,50.1,-1.8
198205,60.8,0.2
198206,69.1,-1.1
198207,74.8,-2
198208,75.3,0.3
198209,66.6,-1.1
198210,52.6,-3.9
198211,41.7,-2.6
198212,34.7,-1.6
198301,37.8,2.6
198302,40.9,1.5
198303,43.7,-0.9
198304,45.9,-6
198305,58.6,-2
198306,69.3,-0.9
198307,75.5,-1.3
198308,74.3,-0.7
198309,70.2,2.5
198310,56.9,0.4
198311,44.3,0
198312,37.9,1.6
198401,35.7,0.5
198402,38.4,-1
198403,45.1,0.5
198404,49.7,-2.2
198405,66.7,6.1
198406,70.1,-0.1
198407,77.1,0.3
198408,74.8,-0.2
198409,69.6,1.9
198410,50.6,-5.9
198411,43.8,-0.5
198412,36,-0.3
198501,35.1,-0.1
198502,36,-3.4
198503,43.6,-1
198504,56.3,4.4
198505,63.1,2.5
198506,73.3,3.1
198507,79,2.2
198508,75.4,0.4
198509,63.5,-4.2
198510,55.9,-0.6
198511,40.4,-3.9
198512,38,1.7
198601,43.8,8.6
198602,42.6,3.2
198603,50.6,6
198604,52.8,0.9
198605,63,2.4
198606,74.1,3.9
198607,75.2,-1.6
198608,77.6,2.6
198609,62.6,-5.1
198610,54.3,-2.2
198611,44.9,0.6
198612,37.9,1.6
198701,33.8,-1.4
198702,39.3,-0.1
198703,42.7,-1.9
198704,56.7,4.8
198705,61.8,1.2
198706,73.7,3.5
198707,74.7,-2.1
198708,75.6,0.6
198709,69.2,1.5
198710,60.1,3.6
198711,43.7,-0.6
198712,33.4,-2.9
198801,34.5,-0.7
198802,41.6,2.2
198803,44.6,0
198804,52.4,0.5
198805,60.7,0.1
198806,73.2,3
198807,79.6,2.8
198808,75,0
198809,66.8,-0.9
198810,63.3,6.8
198811,44.8,0.5
198812,35.5,-0.8
198901,32.2,-3
198902,37.1,-2.3
198903,50.4,5.8
198904,59.3,7.4
198905,62.4,1.8
198906,71.5,1.3
198907,79.9,3.1
198908,73.8,-1.2
198909,68.3,0.6
198910,56.2,-0.3
198911,46.9,2.6
198912,38.2,1.9
199001,36.7,1.5
199002,37.2,-2.2
199003,48.4,3.8
199004,55.7,3.8
199005,60.5,-0.1
199006,73,2.8
199007,78.3,1.5
199008,74.6,-0.4
199009,69.9,2.2
199010,57.8,1.3
199011,44.8,0.5
199012,29.8,-6.5
199101,34.8,-0.4
199102,45.4,6
199103,40.7,-3.9
199104,49.3,-2.6
199105,57.4,-3.2
199106,67.9,-2.3
199107,78.1,1.3
199108,75.8,0.8
199109,69,1.3
199110,59.9,3.4
199111,43.6,-0.7
199112,36.3,0
