Wayne County, Utah, Precipitation
Units: Inches,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
197901,1.53,0.88
197902,0.29,-0.32
197903,1.51,0.73
197904,0.25,-0.46
197905,1.74,1.03
197906,0.05,-0.38
197907,0.38,-0.62
197908,0.52,-0.69
197909,0.05,-0.88
197910,0.17,-0.77
197911,0.94,0.27
197912,0.95,0.33
198001,1.59,0.94
198002,0.92,0.31
198003,1.86,1.08
198004,0.61,-0.1
198005,1.28,0.57
198006,0.02,-0.41
198007,0.4,-0.6
198008,0.82,-0.39
198009,2.92,1.99
198010,0.85,-0.09
198011,0.31,-0.36
198012,0.07,-0.55
198101,0.12,-0.53
198102,0.15,-0.46
198103,1.9,1.12
198104,0.47,-0.24
198105,0.83,0.12
198106,0.28,-0.15
198107,0.96,-0.04
198108,1.09,-0.12
198109,1.9,0.97
198110,1.82,0.88
198111,0.79,0.12
198112,0.31,-0.31
198201,1.22,0.57
198202,0.31,-0.3
198203,0.5,-0.28
198204,0.05,-0.66
198205,0.39,-0.32
198206,0.77,0.34
198207,0.96,-0.04
198208,1.98,0.77
198209,2.02,1.09
198210,0.31,-0.63
198211,0.87,0.2
198212,0.58,-0.04
198301,0.76,0.11
198302,0.35,-0.26
198303,1.87,1.09
198304,0.47,-0.24
198305,0.8,0.09
198306,0.92,0.49
198307,1.2,0.2
198308,1.83,0.62
198309,0.84,-0.09
198310,0.56,-0.38
198311,1.27,0.6
198312,1.13,0.51
198401,0.26,-0.39
198402,0.21,-0.4
198403,1.14,0.36
198404,0.78,0.07
198405,0.22,-0.49
198406,1.3,0.87
198407,1.48,0.48
198408,2.09,0.88
198409,0.61,-0.32
198410,1.65,0.71
198411,0.23,-0.44
198412,0.91,0.29
198501,0.4,-0.25
198502,0.31,-0.3
198503,1.76,0.98
198504,1.63,0.92
198505,0.74,0.03
198506,0.32,-0.11
198507,2.38,1.38
198508,0.05,-1.16
198509,1.18,0.25
198510,1.39,0.45
198511,1.28,0.61
198512,0.24,-0.38
198601,0.17,-0.48
198602,0.8,0.19
198603,0.42,-0.36
198604,0.99,0.28
198605,0.74,0.03
198606,0.21,-0.22
198607,1.03,0.03
198608,1.16,-0.05
198609,1.15,0.22
198610,1.94,1
198611,0.85,0.18
198612,0.61,-0.01
198701,0.66,0.01
198702,0.68,0.07
198703,1.12,0.34
198704,0.49,-0.22
198705,1.55,0.84
198706,0.28,-0.15
198707,1.69,0.69
198708,1.16,-0.05
198709,0.5,-0.43
198710,1.59,0.65
198711,1.37,0.7
198712,0.63,0.01
198801,0.7,0.05
198802,0.27,-0.34
198803,0.89,0.11
198804,1.31,0.6
198805,0.75,0.04
198806,0.83,0.4
198807,0.3,-0.7
198808,1.17,-0.04
198809,0.67,-0.26
198810,0.24,-0.7
198811,0.31,-0.36
198812,0.45,-0.17
198901,0.52,-0.13
198902,0.62,0.01
198903,0.42,-0.36
198904,0.17,-0.54
198905,0.61,-0.1
198906,0.22,-0.21
198907,0.76,-0.24
198908,1.34,0.13
198909,0.25,-0.68
198910,0.22,-0.72
198911,0.07,-0.6
198912,0.02,-0.6
199001,0.7,0.05
199002,0.76,0.15
199003,0.71,-0.07
199004,0.64,-0.07
199005,0.25,-0.46
199006,0.16,-0.27
199007,1.18,0.18
199008,0.9,-0.31
199009,1.61,0.68
199010,0.43,-0.51
199011,0.32,-0.35
199012,0.37,-0.25
199101,0.56,-0.09
199102,0.12,-0.49
199103,1.08,0.3
199104,0.41,-0.3
199105,0.88,0.17
199106,0.3,-0.13
199107,0.82,-0.18
199108,1.43,0.22
199109,1.33,0.4
199110,0.75,-0.19
199111,1.16,0.49
199112,0.84,0.22
199201,0.6,-0.05
199202,0.8,0.19
199203,1.59,0.81
199204,0.39,-0.32
199205,1.79,1.08
199206,0.4,-0.03
199207,0.84,-0.16
199208,0.97,-0.24
199209,0.13,-0.8
199210,0.91,-0.03
199211,0.32,-0.35
199212,0.84,0.22
199301,1.93,1.28
199302,1.76,1.15
199303,0.77,-0.01
199304,0.31,-0.4
199305,1.29,0.58
199306,0.28,-0.15
199307,0.16,-0.84
199308,1,-0.21
199309,0.27,-0.66
199310,1.57,0.63
199311,0.42,-0.25
199312,0.22,-0.4
199401,0.38,-0.27
199402,0.47,-0.14
199403,0.16,-0.62
199404,1.14,0.43
199405,0.23,-0.48
199406,0.05,-0.38
199407,0.33,-0.67
199408,1.21,0
199409,1.21,0.28
199410,0.79,-0.15
199411,1.03,0.36
199412,0.77,0.15
199501,0.86,0.21
199502,0.44,-0.17
199503,1.78,1
199504,1.25,0.54
199505,1.52,0.81
199506,0.81,0.38
199507,0.49,-0.51
199508,0.95,-0.26
199509,0.56,-0.37
199510,0.08,-0.86
199511,0.25,-0.42
199512,0.46,-0.16
199601,0.65,0
199602,0.56,-0.05
199603,0.59,-0.19
199604,0.35,-0.36
199605,0.76,0.05
199606,0.5,0.07
199607,0.59,-0.41
199608,0.59,-0.62
199609,1.46,0.53
199610,0.93,-0.01
199611,0.93,0.26
199612,0.5,-0.12
199701,1.72,1.07
199702,0.52,-0.09
199703,0.15,-0.63
199704,1.63,0.92
199705,0.47,-0.24
199706,0.63,0.2
199707,1.29,0.29
199708,1.89,0.68
199709,2.88,1.95
199710,0.75,-0.19
199711,0.35,-0.32
199712,0.3,-0.32
199801,0.34,-0.31
199802,1.08,0.47
199803,0.63,-0.15
199804,0.8,0.09
199805,0.34,-0.37
199806,0.67,0.24
199807,1.09,0.09
199808,0.39,-0.82
199809,2.34,1.41
199810,2.02,1.08
199811,0.59,-0.08
199812,0.47,-0.15
199901,0.31,-0.34
199902,0.31,-0.3
199903,0.1,-0.68
199904,1.67,0.96
199905,0.4,-0.31
199906,0.81,0.38
199907,1.56,0.56
199908,2.35,1.14
199909,0.78,-0.15
199910,0.07,-0.87
199911,0.09,-0.58
199912,0.49,-0.13
200001,0.58,-0.07
200002,0.58,-0.03
200003,0.97,0.19
200004,0.07,-0.64
200005,0.36,-0.35
200006,0.36,-0.07
200007,0.36,-0.64
200008,1.2,-0.01
200009,0.58,-0.35
200010,2.99,2.05
200011,0.39,-0.28
200012,0.34,-0.28
200101,1.16,0.51
200102,1.08,0.47
200103,1.11,0.33
200104,0.45,-0.26
200105,1.08,0.37
200106,0.48,0.05
200107,0.77,-0.23
200108,1.32,0.11
200109,0.34,-0.59
200110,0.25,-0.69
200111,0.96,0.29
200112,0.47,-0.15
200201,0.25,-0.4
200202,0.17,-0.44
200203,0.17,-0.61
200204,0.24,-0.47
200205,0.06,-0.65
200206,0.13,-0.3
200207,0.67,-0.33
200208,0.44,-0.77
200209,2.18,1.25
200210,1.16,0.22
200211,0.59,-0.08
200212,0.34,-0.28
200301,0.26,-0.39
200302,1.04,0.43
200303,1.03,0.25
200304,0.26,-0.45
200305,0.45,-0.26
200306,0.07,-0.36
