Wayne County, Utah, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1901-2000,,
Missing: -99,,
Date,Value,Anomaly
197901,17.8,-8.6
197902,24.5,-7.8
197903,38.4,-1.3
197904,48,0.1
197905,57.3,0
197906,66.9,-0.2
197907,74.6,1
197908,70.6,-0.5
197909,66.9,4.1
197910,54.3,3.4
197911,31.3,-6.4
197912,26.8,-1.4
198001,31.4,5
198002,36.7,4.4
198003,36.9,-2.8
198004,47,-0.9
198005,54.2,-3.1
198006,68,0.9
198007,75,1.4
198008,71,-0.1
198009,62.8,0
198010,49.9,-1
198011,38.8,1.1
198012,36.2,8
198101,34,7.6
198102,35,2.7
198103,39.7,0
198104,52.4,4.5
198105,56.2,-1.1
198106,71.1,4
198107,74.7,1.1
198108,71.7,0.6
198109,65.1,2.3
198110,49.2,-1.7
198111,41,3.3
198112,32.3,4.1
198201,26.5,0.1
198202,30,-2.3
198203,40,0.3
198204,46.3,-1.6
198205,57.1,-0.2
198206,65.4,-1.7
198207,72.9,-0.7
198208,71.6,0.5
198209,63,0.2
198210,46.4,-4.5
198211,35,-2.7
198212,28.8,0.6
198301,29.9,3.5
198302,36.3,4
198303,40.6,0.9
198304,42.9,-5
198305,54.8,-2.5
198306,65.1,-2
198307,72.8,-0.8
198308,72.5,1.4
198309,65.8,3
198310,52.6,1.7
198311,38.4,0.7
198312,29.1,0.9
198401,24.3,-2.1
198402,29.9,-2.4
198403,38.8,-0.9
198404,44.8,-3.1
198405,62.3,5
198406,65.4,-1.7
198407,73.5,-0.1
198408,71.3,0.2
198409,64.4,1.6
198410,46,-4.9
198411,37.4,-0.3
198412,28.4,0.2
198501,26.8,0.4
198502,28.7,-3.6
198503,39.6,-0.1
198504,51.4,3.5
198505,59.5,2.2
198506,69.8,2.7
198507,74,0.4
198508,72.1,1
198509,59.1,-3.7
198510,51.2,0.3
198511,37.2,-0.5
198512,30.4,2.2
198601,33.7,7.3
198602,37.7,5.4
198603,46.4,6.7
198604,49,1.1
198605,57.8,0.5
198606,71.2,4.1
198607,72.5,-1.1
198608,73.2,2.1
198609,59.5,-3.3
198610,48.4,-2.5
198611,38.9,1.2
198612,30.6,2.4
198701,25.9,-0.5
198702,33,0.7
198703,37.6,-2.1
198704,52.3,4.4
198705,58.3,1
198706,70.4,3.3
198707,71.5,-2.1
198708,70.3,-0.8
198709,63.7,0.9
198710,55,4.1
198711,37.3,-0.4
198712,27.3,-0.9
198801,22.8,-3.6
198802,33.3,1
198803,38.5,-1.2
198804,49.5,1.6
198805,58.2,0.9
198806,71.5,4.4
198807,76.2,2.6
198808,72.8,1.7
198809,62.3,-0.5
198810,57.2,6.3
198811,39.4,1.7
198812,27.8,-0.4
198901,21,-5.4
198902,29.6,-2.7
198903,46.4,6.7
198904,55.1,7.2
198905,60.4,3.1
198906,67.2,0.1
198907,76.7,3.1
198908,70.6,-0.5
198909,64.1,1.3
198910,51.6,0.7
198911,41.1,3.4
198912,30.9,2.7
199001,28.7,2.3
199002,33.8,1.5
199003,44.5,4.8
199004,52.8,4.9
199005,57.9,0.6
199006,71.8,4.7
199007,74.8,1.2
199008,71.9,0.8
199009,66.2,3.4
199010,51.8,0.9
199011,38.3,0.6
199012,22.8,-5.4
199101,22.9,-3.5
199102,36.4,4.1
199103,37.6,-2.1
199104,45.7,-2.2
199105,56,-1.3
199106,67,-0.1
199107,74.2,0.6
199108,72.1,1
199109,63.8,1
199110,54.3,3.4
199111,36.6,-1.1
199112,25.8,-2.4
199201,22.6,-3.8
199202,35.2,2.9
